seq,date,title,applies_to,words,post_parts,pdf,source_url
1,2015-06-23,Xbox One Patch Notes v1.0.0.5,xbox,1345,1,001_2015-06-23_Xbox_One_Patch_Notes_v1.0.0.5.pdf,https://forums.elderscrollsonline.com/en/discussion/184843
2,2015-07-27,Xbox One Patch Notes v1.0.0.6,xbox,2494,1,002_2015-07-27_Xbox_One_Patch_Notes_v1.0.0.6.pdf,https://forums.elderscrollsonline.com/en/discussion/200553
3,2015-07-30,Hotfix 7/30/15 - Camouflage Hunter,unlabeled,60,1,003_2015-07-30_Hotfix_7_30_15_-_Camouflage_Hunter.pdf,https://forums.elderscrollsonline.com/en/discussion/201984
4,2015-08-06,Hotfix 8/6/15,unlabeled,42,1,004_2015-08-06_Hotfix_8_6_15.pdf,https://forums.elderscrollsonline.com/en/discussion/204791
5,2015-08-11,Hotfix 8/11/15 - Vampire & Werewolf,unlabeled,125,1,005_2015-08-11_Hotfix_8_11_15_-_Vampire_Werewolf.pdf,https://forums.elderscrollsonline.com/en/discussion/206355
6,2015-08-13,Hotfix 8/13/15 – Hallin’s Stand Mages Guild,unlabeled,44,1,006_2015-08-13_Hotfix_8_13_15_Hallin_s_Stand_Mages_Guild.pdf,https://forums.elderscrollsonline.com/en/discussion/207114
7,2015-09-14,Xbox One Patch Notes v1.1.0.0,xbox,19142,16,007_2015-09-14_Xbox_One_Patch_Notes_v1.1.0.0.pdf,https://forums.elderscrollsonline.com/en/discussion/216413
8,2015-09-21,Console Hotfix 9/21/15 - Cyrodiil Consumables and Jewelry Item Sets,all-platform,53,1,008_2015-09-21_Console_Hotfix_9_21_15_-_Cyrodiil_Consumables_and_Jewelry_Item_Sets.pdf,https://forums.elderscrollsonline.com/en/discussion/218876
9,2015-09-28,Hotfix 9/28/15 – Trap Beast,unlabeled,53,1,009_2015-09-28_Hotfix_9_28_15_Trap_Beast.pdf,https://forums.elderscrollsonline.com/en/discussion/220552
10,2015-10-12,Xbox One Patch Notes v1.1.1.0,xbox,1281,3,010_2015-10-12_Xbox_One_Patch_Notes_v1.1.1.0.pdf,https://forums.elderscrollsonline.com/en/discussion/223864
11,2015-11-16,Xbox One Patch Notes v1.2.0.0,xbox,10795,18,011_2015-11-16_Xbox_One_Patch_Notes_v1.2.0.0.pdf,https://forums.elderscrollsonline.com/en/discussion/231371
12,2015-12-01,Xbox One Patch Notes v1.2.1.0,xbox,360,3,012_2015-12-01_Xbox_One_Patch_Notes_v1.2.1.0.pdf,https://forums.elderscrollsonline.com/en/discussion/233691
13,2015-12-08,Console Hotfix 12/8/15 - Awaken the Past,all-platform,56,1,013_2015-12-08_Console_Hotfix_12_8_15_-_Awaken_the_Past.pdf,https://forums.elderscrollsonline.com/en/discussion/235032
14,2016-01-26,Xbox One Patch Notes v1.2.2.0,xbox,2251,4,014_2016-01-26_Xbox_One_Patch_Notes_v1.2.2.0.pdf,https://forums.elderscrollsonline.com/en/discussion/243303
15,2016-03-08,Hotfix 3/8/16 @ 10am EST/15:00 GMT - Framerate Issues [COMPLETE],unlabeled,161,4,015_2016-03-08_Hotfix_3_8_16_10am_EST_15_00_GMT_-_Framerate_Issues_COMPLETE.pdf,https://forums.elderscrollsonline.com/en/discussion/251643
