family,page,template,param,value
sets,Online:Abyssal Brace,SetBonus,2 items,Adds 25-1096 Maximum Stamina
sets,Online:Abyssal Brace,SetBonus,3 items,Adds 25-1096 Maximum Stamina
sets,Online:Abyssal Brace,SetBonus,4 items,Adds 28-1206 Maximum Health
sets,Online:Abyssal Brace,SetBonus,5 items,"Adds 39-1710 Maximum Health; While you are Bracing, you and group members within 12 meters of you gain Minor Evasion, reducing damage from area attacks by 10%."
sets,Online:Abyssal Brace,Mod Header,1,Scribes of Fate
sets,Online:Abyssal Brace,Trail,1,Sets
sets,Online:Abyssal Brace,Online Update,type,itemset
sets,Online:Abyssal Brace,ESO Stamina Link,1,25-1096 Maximum
sets,Online:Abyssal Brace,ESO Stamina Link,1,25-1096 Maximum
sets,Online:Abyssal Brace,ESO Health Link,1,28-1206 Maximum
sets,Online:Abyssal Brace,ESO Health Link,1,39-1710 Maximum
sets,Online:Abyssal Brace,ESO Sets With,1,Maximum Stamina
sets,Online:Abyssal Brace,ESO Sets With,2,Double Maximum Stamina
sets,Online:Abyssal Brace,ESO Sets With,3,Maximum Health
sets,Online:Abyssal Brace,ESO Sets With,4,Double Maximum Health
sets,Online:Abyssal Brace,ESO Sets With,5,Block Bonus
sets,Online:Abyssal Brace,ESO Sets With,6,Group Bonus
sets,Online:Abyssal Brace,ESO Sets With,7,Distance Bonus
sets,Online:Abyssal Brace,ESO Sets With,8,Minor Evasion
sets,Online:Abyssal Brace,ESO Sets With,9,5-Piece Bonus
sets,Online:Abyssal Brace,ESO Sets With,10,Heavy Armor
sets,Online:Abyssal Brace,ESO Sets With,11,Any Weapon
sets,Online:Abyssal Brace,ESO Sets With,12,Jewelry
sets,Online:Abyssal Brace,ESO Sets With,settype,Heavy Armor
sets,Online:Abyssal Brace,ESO Sets With,14,Scribes of Mora Style
sets,Online:Abyssal Brace,ESO Sets With,dlc,Scribes of Fate
sets,Online:Abyssal Brace,ESO Sets With,source,Scrivener's Hall
sets,Online:Adamant Lurker,SetBonus,2 items,Adds 3-129 Health Recovery
sets,Online:Adamant Lurker,SetBonus,3 items,Adds 28-1206 Maximum Health
sets,Online:Adamant Lurker,SetBonus,4 items,Adds 3-129 Health Recovery
sets,Online:Adamant Lurker,SetBonus,5 items,Gain 35-1505 Health Recovery while you are standing still.
sets,Online:Adamant Lurker,Mod Header,1,Necrom
sets,Online:Adamant Lurker,Trail,1,Sets
sets,Online:Adamant Lurker,Online Update,type,itemset
sets,Online:Adamant Lurker,ESO Health Link,1,3-129
sets,Online:Adamant Lurker,ESO Health Link,2,Recovery
sets,Online:Adamant Lurker,ESO Health Link,1,28-1206 Maximum
sets,Online:Adamant Lurker,ESO Health Link,1,3-129
sets,Online:Adamant Lurker,ESO Health Link,2,Recovery
sets,Online:Adamant Lurker,ESO Health Link,1,35-1505
sets,Online:Adamant Lurker,ESO Health Link,2,Recovery
sets,Online:Adamant Lurker,ESO Sets With,1,Health Recovery
sets,Online:Adamant Lurker,ESO Sets With,2,Maximum Health
sets,Online:Adamant Lurker,ESO Sets With,3,Double Health Recovery
sets,Online:Adamant Lurker,ESO Sets With,4,Standing Still Bonus
sets,Online:Adamant Lurker,ESO Sets With,5,Triple Health Recovery
sets,Online:Adamant Lurker,ESO Sets With,6,5-Piece Bonus
sets,Online:Adamant Lurker,ESO Sets With,7,Heavy Armor
sets,Online:Adamant Lurker,ESO Sets With,8,Any Weapon
sets,Online:Adamant Lurker,ESO Sets With,9,Jewelry
sets,Online:Adamant Lurker,ESO Sets With,10,Dead Keeper Style
sets,Online:Adamant Lurker,ESO Sets With,settype,Heavy Armor
sets,Online:Adamant Lurker,ESO Sets With,dlc,Necrom
sets,Online:Adamant Lurker,ESO Sets With,source,Apocrypha/Telvanni Peninsula
sets,Online:Adept Rider,SetBonus,2 items,Adds 34-1487 Armor
sets,Online:Adept Rider,SetBonus,3 items,Adds 34-1487 Armor
sets,Online:Adept Rider,SetBonus,4 items,Adds 28-1206 Maximum Health
sets,Online:Adept Rider,SetBonus,5 items,"Gain Gallop and Major Expedition at all times, increasing your Movement Speed by 30% and Mounted Speed by 15%."
sets,Online:Adept Rider,Mod Header,1,Summerset
sets,Online:Adept Rider,Trail,1,Sets
sets,Online:Adept Rider,Online Update,type,itemset
sets,Online:Adept Rider,ESO Health Link,1,28-1206 Maximum
sets,Online:Adept Rider,Place Link,1,Shimmerene Dockworks
sets,Online:Adept Rider,ESO Sets With,1,Physical/Spell Resistance
sets,Online:Adept Rider,ESO Sets With,2,Double Physical/Spell Resistance
sets,Online:Adept Rider,ESO Sets With,3,Double Physical/Spell Resistance
sets,Online:Adept Rider,ESO Sets With,4,Maximum Health
sets,Online:Adept Rider,ESO Sets With,5,Gallop
sets,Online:Adept Rider,ESO Sets With,6,Major Expedition
sets,Online:Adept Rider,ESO Sets With,7,5-Piece Bonus
sets,Online:Adept Rider,ESO Sets With,8,Light Armor
sets,Online:Adept Rider,ESO Sets With,9,Medium Armor
sets,Online:Adept Rider,ESO Sets With,10,Heavy Armor
sets,Online:Adept Rider,ESO Sets With,11,Any Weapon
sets,Online:Adept Rider,ESO Sets With,12,Jewelry
sets,Online:Adept Rider,ESO Sets With,13,Crafting Site(s)
sets,Online:Adept Rider,ESO Sets With,settype,All Weights
sets,Online:Adept Rider,ESO Sets With,dlc,Summerset
sets,Online:Adept Rider,ESO Sets With,source,Shimmerene Dockworks
sets,Online:Aegis Caller,SetBonus,2 items,Adds 3-129 Weapon Damage and Spell Damage
sets,Online:Aegis Caller,SetBonus,3 items,Adds 15-657 Critical Chance
sets,Online:Aegis Caller,SetBonus,4 items,Adds 3-129 Weapon Damage and Spell Damage
sets,Online:Aegis Caller,SetBonus,5 items,"When you deal critical damage with a Martial melee attack, summon a Lesser Aegis for 11 seconds. After 2.5 seconds, the Lesser Aegis spins its blades, dealing 478 Bleed Damage every 1 second. This effect can occur once every 12 seconds and scales off the higher of your Weapon Damage and Spell Damage."
sets,Online:Aegis Caller,Mod Header,1,Harrowstorm
sets,Online:Aegis Caller,Trail,1,Sets
sets,Online:Aegis Caller,Online Update,type,itemset
sets,Online:Aegis Caller,ESO Weapon Damage Link,3,y
sets,Online:Aegis Caller,ESO Weapon Damage Link,3,y
sets,Online:Aegis Caller,ESO Weapon Damage Link,3,y
sets,Online:Aegis Caller,ESO Sets With,1,Weapon/Spell Damage
sets,Online:Aegis Caller,ESO Sets With,2,Weapon/Spell Critical
sets,Online:Aegis Caller,ESO Sets With,3,Double Weapon/Spell Damage
sets,Online:Aegis Caller,ESO Sets With,4,Critical Damage Bonus
sets,Online:Aegis Caller,ESO Sets With,5,Melee Damage Bonus
sets,Online:Aegis Caller,ESO Sets With,6,Summon
sets,Online:Aegis Caller,ESO Sets With,7,Bleed Damage
sets,Online:Aegis Caller,ESO Sets With,8,Damage Over Time
sets,Online:Aegis Caller,ESO Sets With,9,Area of Effect
sets,Online:Aegis Caller,ESO Sets With,10,5-Piece Bonus
sets,Online:Aegis Caller,ESO Sets With,11,Medium Armor
