thread_id,title,query,posts,file,url
107317,Armor balancing,armor rating per piece light medium heavy,15,107317_armor-balancing.md,https://forums.elderscrollsonline.com/en/discussion/107317/armor-balancing
111254,Armor Passives (suggested fixes),armor rating per piece light medium heavy,6,111254_armor-passives-suggested-fixes.md,https://forums.elderscrollsonline.com/en/discussion/111254/armor-passives-suggested-fixes
117473,What are your thoughts on these possible changes to the armor skill lines?,armor rating per piece light medium heavy,9,117473_what-are-your-thoughts-on-these-possible-changes-to-the-armo.md,https://forums.elderscrollsonline.com/en/discussion/117473/what-are-your-thoughts-on-these-possible-changes-to-the-armor-skill-lines
121238,Fixing the armor lines,armor rating per piece light medium heavy,53,121238_fixing-the-armor-lines.md,https://forums.elderscrollsonline.com/en/discussion/121238/fixing-the-armor-lines
122034,Suggestion: Weapon Mastery Skill Line,dual wield weapon damage off hand,2,122034_suggestion-weapon-mastery-skill-line.md,https://forums.elderscrollsonline.com/en/discussion/122034/suggestion-weapon-mastery-skill-line
122036,Suggestion: Weapon Mastery Skill Line,dual wield weapon damage off hand,9,122036_suggestion-weapon-mastery-skill-line.md,https://forums.elderscrollsonline.com/en/discussion/122036/suggestion-weapon-mastery-skill-line
138736,The Real Problem With Balancing in PvP,armor rating per piece light medium heavy,4,138736_the-real-problem-with-balancing-in-pvp.md,https://forums.elderscrollsonline.com/en/discussion/138736/the-real-problem-with-balancing-in-pvp
150940,Suggestion – more realistic weapon swap mechanics,dual wield nirnhoned both hands,7,150940_suggestion-more-realistic-weapon-swap-mechanics.md,https://forums.elderscrollsonline.com/en/discussion/150940/suggestion-more-realistic-weapon-swap-mechanics
203632,Mundus stones: Increased max magicka or Magicka recovery?,magicka recovery max magicka scaling,3,203632_mundus-stones-increased-max-magicka-or-magicka-recovery.md,https://forums.elderscrollsonline.com/en/discussion/203632/mundus-stones-increased-max-magicka-or-magicka-recovery
209508,Give us our Dual Wield! (Improve Dual Wield thread),dual wield weapon damage off hand,18,209508_give-us-our-dual-wield-improve-dual-wield-thread.md,https://forums.elderscrollsonline.com/en/discussion/209508/give-us-our-dual-wield-improve-dual-wield-thread
227950,Vampire Health Recovery,vampire stage health recovery,3,227950_vampire-health-recovery.md,https://forums.elderscrollsonline.com/en/discussion/227950/vampire-health-recovery
233325,Does Meteor's damage scale off of Max Magicka?,magicka recovery max magicka scaling,28,233325_does-meteors-damage-scale-off-of-max-magicka.md,https://forums.elderscrollsonline.com/en/discussion/233325/does-meteors-damage-scale-off-of-max-magicka
247474,Re-balancing the Foundation of the Game: Attributes & Armor,magicka recovery attribute points,11,247474_re-balancing-the-foundation-of-the-game-attributes-armor.md,https://forums.elderscrollsonline.com/en/discussion/247474/re-balancing-the-foundation-of-the-game-attributes-armor
