seq,source,tier,title,words,pdf,url
1,esolog,esolog,Skill Coefficients,457046,,https://esolog.uesp.net/viewSkillCoef.php
2,uesp,uesp,Alchemy,5230,002_uesp_Alchemy.pdf,https://en.uesp.net/wiki/Online:Alchemy
3,uesp,uesp,Alliance War,4105,003_uesp_Alliance_War.pdf,https://en.uesp.net/wiki/Online:Alliance_War
4,uesp,uesp,Arcanist,409,004_uesp_Arcanist.pdf,https://en.uesp.net/wiki/Online:Arcanist
5,uesp,uesp,Arena Sets,1001,005_uesp_Arena_Sets.pdf,https://en.uesp.net/wiki/Online:Arena_Sets
6,uesp,uesp,Armor,2377,006_uesp_Armor.pdf,https://en.uesp.net/wiki/Online:Armor
7,uesp,uesp,Attributes,422,007_uesp_Attributes.pdf,https://en.uesp.net/wiki/Online:Attributes
8,uesp,uesp,Battlegrounds,1745,008_uesp_Battlegrounds.pdf,https://en.uesp.net/wiki/Online:Battlegrounds
9,uesp,uesp,Bleed Damage,3526,009_uesp_Bleed_Damage.pdf,https://en.uesp.net/wiki/Online:Bleed_Damage
10,uesp,uesp,Buffs,3192,010_uesp_Buffs.pdf,https://en.uesp.net/wiki/Online:Buffs
11,uesp,uesp,Campaigns,4374,011_uesp_Campaigns.pdf,https://en.uesp.net/wiki/Online:Campaigns
12,uesp,uesp,Champion,3955,012_uesp_Champion.pdf,https://en.uesp.net/wiki/Online:Champion
13,uesp,uesp,Champion/deprecated,2142,013_uesp_Champion_deprecated.pdf,https://en.uesp.net/wiki/Online:Champion/deprecated
14,uesp,uesp,Class Sets,1552,014_uesp_Class_Sets.pdf,https://en.uesp.net/wiki/Online:Class_Sets
15,uesp,uesp,Classes,828,015_uesp_Classes.pdf,https://en.uesp.net/wiki/Online:Classes
16,uesp,uesp,Combat,3632,016_uesp_Combat.pdf,https://en.uesp.net/wiki/Online:Combat
17,uesp,uesp,Craftable Sets,7095,017_uesp_Craftable_Sets.pdf,https://en.uesp.net/wiki/Online:Craftable_Sets
18,uesp,uesp,Critical Damage,129,018_uesp_Critical_Damage.pdf,https://en.uesp.net/wiki/Online:Critical_Damage
19,uesp,uesp,Cyrodiil,6152,019_uesp_Cyrodiil.pdf,https://en.uesp.net/wiki/Online:Cyrodiil
20,uesp,uesp,Disease Damage,2714,020_uesp_Disease_Damage.pdf,https://en.uesp.net/wiki/Online:Disease_Damage
21,uesp,uesp,Dragonknight,501,021_uesp_Dragonknight.pdf,https://en.uesp.net/wiki/Online:Dragonknight
22,uesp,uesp,Drinks,2933,022_uesp_Drinks.pdf,https://en.uesp.net/wiki/Online:Drinks
23,uesp,uesp,Dungeon Sets,11140,023_uesp_Dungeon_Sets.pdf,https://en.uesp.net/wiki/Online:Dungeon_Sets
24,uesp,uesp,Enchanting,2250,024_uesp_Enchanting.pdf,https://en.uesp.net/wiki/Online:Enchanting
25,uesp,uesp,Flame Damage,7107,025_uesp_Flame_Damage.pdf,https://en.uesp.net/wiki/Online:Flame_Damage
26,uesp,uesp,Food,3282,026_uesp_Food.pdf,https://en.uesp.net/wiki/Online:Food
27,uesp,uesp,Frost Damage,4992,027_uesp_Frost_Damage.pdf,https://en.uesp.net/wiki/Online:Frost_Damage
28,uesp,uesp,Health,588,028_uesp_Health.pdf,https://en.uesp.net/wiki/Online:Health
29,uesp,uesp,Immobilize,261,029_uesp_Immobilize.pdf,https://en.uesp.net/wiki/Online:Immobilize
30,uesp,uesp,Imperial City,2045,030_uesp_Imperial_City.pdf,https://en.uesp.net/wiki/Online:Imperial_City
31,uesp,uesp,Jewelry Sets,477,031_uesp_Jewelry_Sets.pdf,https://en.uesp.net/wiki/Online:Jewelry_Sets
32,uesp,uesp,Leveling,2044,032_uesp_Leveling.pdf,https://en.uesp.net/wiki/Online:Leveling
33,uesp,uesp,Magic Damage,14525,033_uesp_Magic_Damage.pdf,https://en.uesp.net/wiki/Online:Magic_Damage
34,uesp,uesp,Magicka,516,034_uesp_Magicka.pdf,https://en.uesp.net/wiki/Online:Magicka
35,uesp,uesp,Monster Helm Sets,5615,035_uesp_Monster_Helm_Sets.pdf,https://en.uesp.net/wiki/Online:Monster_Helm_Sets
36,uesp,uesp,Movement Speed,1289,036_uesp_Movement_Speed.pdf,https://en.uesp.net/wiki/Online:Movement_Speed
37,uesp,uesp,Mundus Stones,355,037_uesp_Mundus_Stones.pdf,https://en.uesp.net/wiki/Online:Mundus_Stones
38,uesp,uesp,Necromancer,562,038_uesp_Necromancer.pdf,https://en.uesp.net/wiki/Online:Necromancer
39,uesp,uesp,Nightblade,543,039_uesp_Nightblade.pdf,https://en.uesp.net/wiki/Online:Nightblade
40,uesp,uesp,Oblivion Damage,605,040_uesp_Oblivion_Damage.pdf,https://en.uesp.net/wiki/Online:Oblivion_Damage
41,uesp,uesp,Off Balance,562,041_uesp_Off_Balance.pdf,https://en.uesp.net/wiki/Online:Off_Balance
42,uesp,uesp,Overland Sets,6569,042_uesp_Overland_Sets.pdf,https://en.uesp.net/wiki/Online:Overland_Sets
43,uesp,uesp,PVP Sets,5526,043_uesp_PVP_Sets.pdf,https://en.uesp.net/wiki/Online:PVP_Sets
44,uesp,uesp,Penetration,128,044_uesp_Penetration.pdf,https://en.uesp.net/wiki/Online:Penetration
45,uesp,uesp,Physical Damage,10405,045_uesp_Physical_Damage.pdf,https://en.uesp.net/wiki/Online:Physical_Damage
46,uesp,uesp,Poison Damage,2682,046_uesp_Poison_Damage.pdf,https://en.uesp.net/wiki/Online:Poison_Damage
47,uesp,uesp,Poisons,852,047_uesp_Poisons.pdf,https://en.uesp.net/wiki/Online:Poisons
48,uesp,uesp,Potions,2914,048_uesp_Potions.pdf,https://en.uesp.net/wiki/Online:Potions
49,uesp,uesp,Provisioning,1264,049_uesp_Provisioning.pdf,https://en.uesp.net/wiki/Online:Provisioning
50,uesp,uesp,Races,922,050_uesp_Races.pdf,https://en.uesp.net/wiki/Online:Races
51,uesp,uesp,Sets,772,051_uesp_Sets.pdf,https://en.uesp.net/wiki/Online:Sets
52,uesp,uesp,Shock Damage,5098,052_uesp_Shock_Damage.pdf,https://en.uesp.net/wiki/Online:Shock_Damage
53,uesp,uesp,Siege Weapons,2408,053_uesp_Siege_Weapons.pdf,https://en.uesp.net/wiki/Online:Siege_Weapons
54,uesp,uesp,Skills,2620,054_uesp_Skills.pdf,https://en.uesp.net/wiki/Online:Skills
55,uesp,uesp,Sorcerer,551,055_uesp_Sorcerer.pdf,https://en.uesp.net/wiki/Online:Sorcerer
56,uesp,uesp,Stamina,533,056_uesp_Stamina.pdf,https://en.uesp.net/wiki/Online:Stamina
57,uesp,uesp,Stealth,1550,057_uesp_Stealth.pdf,https://en.uesp.net/wiki/Online:Stealth
58,uesp,uesp,Stun,597,058_uesp_Stun.pdf,https://en.uesp.net/wiki/Online:Stun
59,uesp,uesp,Synergy,2791,059_uesp_Synergy.pdf,https://en.uesp.net/wiki/Online:Synergy
60,uesp,uesp,Templar,529,060_uesp_Templar.pdf,https://en.uesp.net/wiki/Online:Templar
61,uesp,uesp,Traits,1954,061_uesp_Traits.pdf,https://en.uesp.net/wiki/Online:Traits
62,uesp,uesp,Treasure Hunter (champion),132,062_uesp_Treasure_Hunter_champion.pdf,https://en.uesp.net/wiki/Online:Treasure_Hunter_(champion)
63,uesp,uesp,Trial Sets,8060,063_uesp_Trial_Sets.pdf,https://en.uesp.net/wiki/Online:Trial_Sets
64,uesp,uesp,Ultimate,575,064_uesp_Ultimate.pdf,https://en.uesp.net/wiki/Online:Ultimate
65,uesp,uesp,Vampire,3418,065_uesp_Vampire.pdf,https://en.uesp.net/wiki/Online:Vampire
66,uesp,uesp,Warden,538,066_uesp_Warden.pdf,https://en.uesp.net/wiki/Online:Warden
67,uesp,uesp,Weapon Sets,225,067_uesp_Weapon_Sets.pdf,https://en.uesp.net/wiki/Online:Weapon_Sets
68,uesp,uesp,Weapons,2529,068_uesp_Weapons.pdf,https://en.uesp.net/wiki/Online:Weapons
69,uesp,uesp,Werewolf,4298,069_uesp_Werewolf.pdf,https://en.uesp.net/wiki/Online:Werewolf
70,zos,combat-news,2023 Global Reveal–Unveiling the New Arcanist Class,586,070_zos_2023_Global_Reveal_Unveiling_the_New_Arcanist_Class.pdf,https://www.elderscrollsonline.com/en-us/news/post/63493
71,zos,combat-news,2025 ESO Direct—Update 46 Preview,824,071_zos_2025_ESO_Direct_Update_46_Preview.pdf,https://www.elderscrollsonline.com/en-us/news/post/67841
72,zos,combat-news,An Update on the Warden and Class Refresh,1266,072_zos_An_Update_on_the_Warden_and_Class_Refresh.pdf,https://www.elderscrollsonline.com/en-us/news/post/70311
73,zos,combat-news,Anniversary Spotlight—Earn a Multi-Rider Mount with Scribing!,508,073_zos_Anniversary_Spotlight_Earn_a_Multi-Rider_Mount_with_Scribing.pdf,https://www.elderscrollsonline.com/en-us/news/post/66071
74,zos,combat-news,Announcing The Elder Scrolls Online: Lost Depths & Update 35,630,074_zos_Announcing_The_Elder_Scrolls_Online_Lost_Depths_Update_35.pdf,https://www.elderscrollsonline.com/en-us/news/post/62487
75,zos,combat-news,Begin Your Journey into the Arcanist Class with This New Developer Video,178,075_zos_Begin_Your_Journey_into_the_Arcanist_Class_with_This_New_Dev.pdf,https://www.elderscrollsonline.com/en-us/news/post/64175
76,zos,combat-news,Capture New Collectibles during the Whitestrake’s Mayhem PvP Event!,1172,076_zos_Capture_New_Collectibles_during_the_Whitestrake_s_Mayhem_PvP.pdf,https://www.elderscrollsonline.com/en-us/news/post/69275
77,zos,combat-news,Catch Up on the Class Identity Refresh Announcement & Livestream,214,077_zos_Catch_Up_on_the_Class_Identity_Refresh_Announcement_Livestre.pdf,https://www.elderscrollsonline.com/en-us/news/post/69089
78,zos,combat-news,Check Out What You Missed During the Update 44 Preview Livestream,136,078_zos_Check_Out_What_You_Missed_During_the_Update_44_Preview_Lives.pdf,https://www.elderscrollsonline.com/en-us/news/post/66715
79,zos,combat-news,Community Guides Special—Necrom & Update 38,574,079_zos_Community_Guides_Special_Necrom_Update_38.pdf,https://www.elderscrollsonline.com/en-us/news/post/64323
80,zos,combat-news,Community Guides–Fallen Banners & Update 45,528,080_zos_Community_Guides_Fallen_Banners_Update_45.pdf,https://www.elderscrollsonline.com/en-us/news/post/67725
81,zos,combat-news,Community Guides–Seasons of the Worm Cult Part 1 & Update 46,592,081_zos_Community_Guides_Seasons_of_the_Worm_Cult_Part_1_Update_46.pdf,https://www.elderscrollsonline.com/en-us/news/post/68263
82,zos,combat-news,Community Guides–Whitestrake’s Mayhem PvP Special,552,082_zos_Community_Guides_Whitestrake_s_Mayhem_PvP_Special.pdf,https://www.elderscrollsonline.com/en-us/news/post/66431
83,zos,combat-news,Community Guides—Firesong & Update 36,565,083_zos_Community_Guides_Firesong_Update_36.pdf,https://www.elderscrollsonline.com/en-us/news/post/63257
84,zos,combat-news,Community Guides—Gold Road and Update 42,692,084_zos_Community_Guides_Gold_Road_and_Update_42.pdf,https://www.elderscrollsonline.com/en-us/news/post/66287
85,zos,combat-news,Community Guides—Infinite Archive & Update 40,562,085_zos_Community_Guides_Infinite_Archive_Update_40.pdf,https://www.elderscrollsonline.com/en-us/news/post/64999
86,zos,combat-news,Community Guides—Lost Depths & Update 35,626,086_zos_Community_Guides_Lost_Depths_Update_35.pdf,https://www.elderscrollsonline.com/en-us/news/post/62749
87,zos,combat-news,Community Guides—Scribes of Fate & Update 37,613,087_zos_Community_Guides_Scribes_of_Fate_Update_37.pdf,https://www.elderscrollsonline.com/en-us/news/post/63851
88,zos,combat-news,Community Guides—Scribing,538,088_zos_Community_Guides_Scribing.pdf,https://www.elderscrollsonline.com/en-us/news/post/66199
89,zos,combat-news,Community Guides—Scribing and Subclassing Special,437,089_zos_Community_Guides_Scribing_and_Subclassing_Special.pdf,https://www.elderscrollsonline.com/en-us/news/post/68459
90,zos,combat-news,Community Guides—Update 39,395,090_zos_Community_Guides_Update_39.pdf,https://www.elderscrollsonline.com/en-us/news/post/64599
91,zos,combat-news,Community Guides—Update 41 and Scions of Ithelia,588,091_zos_Community_Guides_Update_41_and_Scions_of_Ithelia.pdf,https://www.elderscrollsonline.com/en-us/news/post/65727
92,zos,combat-news,Community Guides—Update 43,512,092_zos_Community_Guides_Update_43.pdf,https://www.elderscrollsonline.com/en-us/news/post/66623
93,zos,combat-news,Community Guides—Update 44,468,093_zos_Community_Guides_Update_44.pdf,https://www.elderscrollsonline.com/en-us/news/post/67133
94,zos,combat-news,Community Guides—Update 47 & Feast of Shadows,457,094_zos_Community_Guides_Update_47_Feast_of_Shadows.pdf,https://www.elderscrollsonline.com/en-us/news/post/68627
95,zos,combat-news,Community Guides—Update 49,510,095_zos_Community_Guides_Update_49.pdf,https://www.elderscrollsonline.com/en-us/news/post/69535
96,zos,combat-news,Community Guides—Update 50,576,096_zos_Community_Guides_Update_50.pdf,https://www.elderscrollsonline.com/en-us/news/post/69967
97,zos,combat-news,Community Guides—Whitestrake’s Mayhem and PvP,513,097_zos_Community_Guides_Whitestrake_s_Mayhem_and_PvP.pdf,https://www.elderscrollsonline.com/en-us/news/post/65613
98,zos,combat-news,Community Spotlight – Geonhdrio’s Impenetrable Dwarven Armor,960,098_zos_Community_Spotlight_Geonhdrio_s_Impenetrable_Dwarven_Armor.pdf,https://www.elderscrollsonline.com/en-us/news/post/62683
99,zos,combat-news,Community Spotlight—Ainaven Rules Cyrodiil with This Incredible Emperor Cosplay,700,099_zos_Community_Spotlight_Ainaven_Rules_Cyrodiil_with_This_Incredi.pdf,https://www.elderscrollsonline.com/en-us/news/post/63885
100,zos,combat-news,Conquer the Battlefield & Earn a New Style During the Whitestrake’s Mayhem PvP Event,960,100_zos_Conquer_the_Battlefield_Earn_a_New_Style_During_the_Whitestr.pdf,https://www.elderscrollsonline.com/en-us/news/post/65535
101,zos,combat-news,Cyrodiil Cries Out Again for PvP Vengeance!,539,101_zos_Cyrodiil_Cries_Out_Again_for_PvP_Vengeance.pdf,https://www.elderscrollsonline.com/en-us/news/post/68725
102,zos,combat-news,Delve Deeper into Update 46’s Base Game Additions with ESO’s Developers,1198,102_zos_Delve_Deeper_into_Update_46_s_Base_Game_Additions_with_ESO_s.pdf,https://www.elderscrollsonline.com/en-us/news/post/68289
103,zos,combat-news,Delve into the Infinite Archive & Update 40 during a Special Livestream Preview,209,103_zos_Delve_into_the_Infinite_Archive_Update_40_during_a_Special_L.pdf,https://www.elderscrollsonline.com/en-us/news/post/64615
104,zos,combat-news,Discover 2025’s First Major ESO Release with the Update 45 Preview Livestream,177,104_zos_Discover_2025_s_First_Major_ESO_Release_with_the_Update_45_P.pdf,https://www.elderscrollsonline.com/en-us/news/post/67393
105,zos,combat-news,Discover Update 50’s Player Experience Improvements,719,105_zos_Discover_Update_50_s_Player_Experience_Improvements.pdf,https://www.elderscrollsonline.com/en-us/news/post/69857
106,zos,combat-news,Diving into the Dragonknight Class PTS Updates,2721,106_zos_Diving_into_the_Dragonknight_Class_PTS_Updates.pdf,https://www.elderscrollsonline.com/en-us/news/post/69353
107,zos,combat-news,Dominate Your Rivals and Earn Unique Rewards During the Whitestrake’s Mayhem PvP Event,1023,107_zos_Dominate_Your_Rivals_and_Earn_Unique_Rewards_During_the_Whit.pdf,https://www.elderscrollsonline.com/en-us/news/post/62567
108,zos,combat-news,Don’t Miss Out on Week 4’s Set Sail for High Isle Rewards & Streams!,248,108_zos_Don_t_Miss_Out_on_Week_4_s_Set_Sail_for_High_Isle_Rewards_St.pdf,https://www.elderscrollsonline.com/en-us/news/post/62375
109,zos,combat-news,Don’t Miss the Infinite Archive & Update 40 Preview Livestream,534,109_zos_Don_t_Miss_the_Infinite_Archive_Update_40_Preview_Livestream.pdf,https://www.elderscrollsonline.com/en-us/news/post/64679
110,zos,combat-news,ESO 2024 Global Reveal—Introducing Scribing,697,110_zos_ESO_2024_Global_Reveal_Introducing_Scribing.pdf,https://www.elderscrollsonline.com/en-us/news/post/65361
