family,page,version,note
depth,Online:Blinding Light,1.1.2,"* Fixed an issue where, after re-specing, you could not spec back into Blinding Light."
depth,Online:Blinding Light,1.2.3,"* Missing a bash attack while under the effects of Blinding Light will now set the target off balance. * Blinding Flashes: Increased this ability's duration. Also, monsters knocked off balance by Blinding Flashes will only display their knockback animation once."
depth,Online:Blinding Light,1.3.3,* This ability can now cause enemies to go off-balance when they are blocking.
depth,Online:Blinding Light,1.6.5,"* The ability Blinding Light has been removed, and replaced with Radiant Destruction."
depth,Online:Bracing,2.4.5,"* Renamed this passive ability to Wrath. * Redesigned this passive ability so it now increases your Weapon and Spell Damage by 10/20 for 6 seconds after taking damage at Ranks I/II respectively, stacking up to 10 times."
depth,Online:Harmony,8.3.5,"* This trait now grants you up to 880 Health, Magicka, and Stamina when you activate a synergy per trait, rather than increasing the healing, damage, and shielding potency of synergies by 20% per trait. * Fixed an issue where Harmony did not interact with Companion synergies."
depth,Online:Merchant Favored,5.2.9,* This passive will now once again reduce the cost of repairs.
depth,Online:Negate Magic,1.3.3,* The abilities Hardened Ward and Negate Magic no longer share the same icon.
depth,Online:Negate Magic,1.4.3,* Negate Magic cast by NPCs will now remove buffs that you cast upon them.
depth,Online:Negate Magic,1.6.5,"* This Ultimate ability now removes enemy-placed effects when it is initially cast instead of constantly for the entire duration of the ability. * Reduced the cost of this ability by 10%. * Suppression Field: This ability has been redesigned, and now applies the Minor Protection buff to your allies inside the field. * Absorption Field: This ability has been redesigned. Allies who pass through the field now gain the buffs Major Expedition, Major Intellect, Major Fortitude, and Major Endurance for 12 seconds. * Several monster abilities that could not be previously dispelled by the Sorcerer ability Negate Magic can now be dispelled. This includes the following: ** Angof - Angof's Reach ** Battlemage - Ice Cage ** Flame Atronach - Lava Geyser ** Frost Atronach - Chilling Aura ** Gargoyle - Lava Geyser ** Lich - Defiled Ground, Soul Cage ** Nereid - Water Geyser ** Scamp - Rain of Fire ** Spider Daedra - Lightning Storm ** Thunder Bug - Thunderstrikes ** Titan - Soul Flame ** Wispmother - Rain of Wisps"
depth,Online:Negate Magic,2.3.5,* Fixed an issue where this ability and its morphs would not apply crowd control immunity to monsters at the end of their stun durations.
depth,Online:Negate Magic,2.4.5,"* Absorption Field: Redesigned this morph so it now heals you and your allies standing within the area of effect, in addition to stunning or silencing enemies. * Suppression Field: Redesigned this morph so it now damages enemies standing within the area of effect, in addition to stunning or silencing enemies. Also fixed an issue where the damage from this morph could not critically strike."
depth,Online:Negate Magic,2.6.4,"* Monsters stunned by Negate Magic are now stunned for 3 seconds, up from 0.6 seconds. ** Negate Magic no longer affects objects outside the area indicated by its telegraph. ** Negate Magic now correctly removes dispellable area effects. ** Negate Magic now displays an area indicator, and requires a line of sight to cast. ** The silence from Negate Magic now displays a visual effect so you can tell you are silent."
depth,Online:Negate Magic,3.0.5,* Silence no longer stops Watchers from attacking.
