page,bonus_1,bonus_2,bonus_3,bonus_4,bonus_5,bonus_6,bonus_7,bonus_8,bonus_9,bonus_10,bonus_11,bonus_12,Trail.1,Online Update.type,ESO Sets With.1,ESO Sets With.3,ESO Sets With.2,ESO Sets With.4,ESO Sets With.5,ESO Sets With.settype,ESO Sets With.6,ESO Sets With.source,ESO Sets With.7,ESO Sets With.8,ESO Sets With.9,ESO Sets With.10,ESO Sets With.11,Mod Header.1,ESO Sets With.dlc,ESO Sets With.12,ESO Weapon Damage Link.3,ESO Health Link.1,ESO Sets With.13,ESO Stamina Link.1,ESO Magicka Link.1,Item Link.quality,ESO Sets With.14,Item Link.id,Item Link.summary,Item Link.1,about.1,about.2,about.3,ESO Magicka Link.2,ESO Stamina Link.2,ESO Sets With.15,Place Link.1,ESO Sets With.dungeon,ESO Sets With.chest,ESO Sets With.boss,Item Link.2,icon.1,icon.2,ESO Quality Color.1,ESO Quality Color.2,ESO Ultimate Link.1,icon.al
Online:Abyssal Brace,,Adds 25-1096 Maximum Stamina,Adds 25-1096 Maximum Stamina,Adds 28-1206 Maximum Health,"While you are Bracing, you and group members within 12 meters of you gain Minor Evasion, reducing damage from area attacks by 10%.",,,,,,,,Sets,itemset,Maximum Stamina,Maximum Health,Double Maximum Stamina,Double Maximum Health,Block Bonus,Heavy Armor,Group Bonus,Scrivener's Hall,Distance Bonus,Minor Evasion,5-Piece Bonus,Heavy Armor,Any Weapon,Scribes of Fate,Scribes of Fate,Jewelry,,28-1206 Maximum,,25-1096 Maximum,,,Scribes of Mora Style,,,,,,,,,,,,,,,,,,,,
Online:Adamant Lurker,,Adds 3-129 Health Recovery,Adds 28-1206 Maximum Health,Adds 3-129 Health Recovery,Gain 35-1505 Health Recovery while you are standing still.,,,,,,,,Sets,itemset,Health Recovery,Double Health Recovery,Maximum Health,Standing Still Bonus,Triple Health Recovery,Heavy Armor,5-Piece Bonus,Apocrypha/Telvanni Peninsula,Heavy Armor,Any Weapon,Jewelry,Dead Keeper Style,,Necrom,Necrom,,,3-129,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Adept Rider,,Adds 34-1487 Armor,Adds 34-1487 Armor,Adds 28-1206 Maximum Health,"Gain Gallop and Major Expedition at all times, increasing your Movement Speed by 30% and Mounted Speed by 15%.",,,,,,,,Sets,itemset,Physical/Spell Resistance,Double Physical/Spell Resistance,Double Physical/Spell Resistance,Maximum Health,Gallop,All Weights,Major Expedition,Shimmerene Dockworks,5-Piece Bonus,Light Armor,Medium Armor,Heavy Armor,Any Weapon,Summerset,Summerset,Jewelry,,28-1206 Maximum,Crafting Site(s),,,,,,,,,,,,,,Shimmerene Dockworks,,,,,,,,,,
Online:Aegis Caller,,Adds 3-129 Weapon Damage and Spell Damage,Adds 15-657 Critical Chance,Adds 3-129 Weapon Damage and Spell Damage,"When you deal critical damage with a Martial melee attack, summon a Lesser Aegis for 11 seconds. After 2.5 seconds, the Lesser Aegis spins its blades, dealing 478 Bleed Damage every 1 second. This effect can occur once every 12 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Double Weapon/Spell Damage,Weapon/Spell Critical,Critical Damage Bonus,Melee Damage Bonus,Medium Armor,Summon,Unhallowed Grave,Bleed Damage,Damage Over Time,Area of Effect,5-Piece Bonus,Medium Armor,Harrowstorm,Harrowstorm,Any Weapon,y,,Jewelry,,,,Pyre Watch Style,,,,,,,,,,,,,,,,,,,,
Online:Aegis of Galenwe,,Adds 28-1206 Maximum Health,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 4% Healing Taken,"When you Block, you grant Empower to 11 other group members within 15 meters for 3 seconds, increasing the damage of their Heavy Attacks against monsters by 150%. This effect can occur once every 2 seconds.",,,,,,,,Sets,itemset,Maximum Health,Increase Healing Received,Minor Aegis,Block Bonus,Group Bonus,Heavy Armor,Full Group Bonus,Cloudrest,Empower,Distance Bonus,5-Piece Bonus,Heavy Armor,Any Weapon,Summerset,Summerset,Jewelry,,28-1206 Maximum,Welkynar Style,,,,,,,,,,,,,,,,,,,,,,,,
Online:Aerie's Cry,,Adds 34-1487 Offensive Penetration,Adds 3-129 Weapon Damage and Spell Damage,Adds 3-129 Weapon Damage and Spell Damage,"Dealing damage with a Light Attack applies Eagle's Mark to your target for 12 seconds. Eagle's Mark causes an eagle to attack your target every 3 seconds after a 3 second delay, dealing 856 Physical damage per attack. Applying Eagle's Mark grants you Aerie's Call for 12 seconds, increasing your damage done by 10% against enemies with Eagle's Mark. This effect can occur every 3 seconds. You can have one Eagle's Mark active at a time.",,,,,,,,Sets,itemset,Physical/Spell Penetration,Weapon/Spell Damage,Weapon/Spell Damage,Double Weapon/Spell Damage,Light Attack Bonus,All Weights,Damage Over Time,Infinite Archive,Physical Damage,Class Abilities Bonus,5-Piece Bonus,Light Armor,Medium Armor,,,Heavy Armor,y,,Any Weapon,,,,Jewelry,,,,,,,,,Gardener of Seasons Style,,,,,,,,,,,
Online:Aetherial Ascension,,Adds 34-1487 Armor,Adds 28-1206 Maximum Health,Adds 34-1487 Armor,"Adds 171-7377 Armor. Increases the cost of Block, Sprint, Dodge, and Break Free by 20%.",,,,,,,,Sets,itemset,Physical/Spell Resistance,Double Physical/Spell Resistance,Maximum Health,Triple Physical/Spell Resistance,Reduce Damage Taken,All Weights,Drawbacks,Philosopher's Cradle,5-Piece Bonus,Light Armor,Medium Armor,Heavy Armor,Any Weapon,Markarth,Markarth,Jewelry,,28-1206 Maximum,Crafting Site(s),,,,,,,,,,,,,,Philosopher's Cradle,,,,,,,,,,
Online:Aetheric Lancer,,Adds 3-129 Weapon Damage and Spell Damage,Adds 15-657 Critical Chance,Adds 3-129 Weapon Damage and Spell Damage,"Dealing damage with Burning Light twice within 30 seconds creates a 5 meter area for 5 seconds. This effect can occur once every 3 seconds. While in the area, dealing damage with an Aedric Spear ability launches a spear at your target, dealing 1684 Magic damage and applying Sundered and increasing your Weapon Damage and Spell Damage by 300 for 10 seconds. The damage scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Double Weapon/Spell Damage,Weapon/Spell Critical,Skill Bonus,Area of Effect,All Weights,Magic Damage,Infinite Archive,Apply Status Effects,5-Piece Bonus,Light Armor,Medium Armor,Heavy Armor,,,Any Weapon,y,,Jewelry,,,,Wrathsun Style,,,,,,,,,,,,,,,,,,,,
Online:Affliction,,Adds 3-129 Weapon Damage and Spell Damage,Adds 3-129 Weapon Damage and Spell Damage,Adds 34-1487 Offensive Penetration,"When you deal damage, you deal 330 Disease damage to the target. The enemy is then afflicted with the Diseased status effect, applying Minor Defile to the target, reducing their Healing Received and damage shield strength by 6% for 4 seconds. This effect can occur once every 4 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Stamina Recovery,Maximum Stamina,Disease Damage,Apply Status Effects,Heavy Armor,Minor Defile,Vlastarus,5-Piece Bonus,Heavy Armor,Any Weapon,Jewelry,Alliance Style,,,Alliance Point Cost,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Agility (set),,Adds 40-1752 Maximum Stamina,Adds 4-206 Weapon Damage and Spell Damage,,,,,,,,,,Sets,itemset,Maximum Stamina,3-Piece Bonus,Weapon/Spell Damage,Any Weapon,Jewelry,Three Piece,,Clawed Trophy Vault Monstrous Tooth Trophy Vault,,,,,,Imperial City,Imperial City,,y,,,40-1752 Maximum,,,,,,,,,,,,,,,,,,,,,,,
