page,Online Skill Summary.line,Online Skill Summary.desc,Online Skill Summary.icon,Online Skill Summary.id,ESO Patch Note.1,ESO Patch Note.2,ESO Skills With.1,Online Skill Summary.type,ESO Skills With.2,Online Skill Summary.desc2,ESO Skills With.3,Online Skill Summary.linerank1,Online Skill Summary.linerank,Online Skill Summary.cost,Online Skill Summary.target,Online Skill Summary.casttime,ESO Skills With.4,Online Skill Summary.linerank2,Online Skill Summary.image,Online Skill Summary.imgdesc,Online Skill Summary.id1,Online Skill Summary.id2,Online Skill Summary.desc1,Online Skill Summary.morph1name,Online Skill Summary.morph1id,Online Skill Summary.morph1desc,Online Skill Summary.morph2name,Online Skill Summary.morph2id,Online Skill Summary.morph2icon,Online Skill Summary.morph2desc,Online Skill Summary.morph1icon,ESO Skills With.5,Mod Header.1,Online Skill Summary.duration,ESO Skills With.6,Online Skill Summary.attrib,Online Skill Summary.range,ESO Skills With.7,Online Skill Summary.radius,ESO Companion Skills With.1,ESO Companion Skills With.2,ESO Skills With.8,Online Skill Summary.desc3,Online Skill Summary.linerank3,Online Skill Summary.id3,ESO Skills With.9,ESO Companion Skills With.3,ESO Health Link.1,Online Skill Summary.area
Online:A Soul Ablaze,Ardent Flame,The will to survive burns bright in your chest. Increases your Healing Taken by 4%.,Ardent Flame-A Soul Ablaze,45029,,,,Passive,,The will to survive burns bright in your chest. Increases your Healing Taken by 8%.,,39,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Abor's Augmented Ward,Quill Knight,"Azandar draws on advanced research to gain a damage shield that absorbs 1575 damage for 6 seconds. The first time they take direct damage after casting, the shield retaliates and deals 3150 Magic Damage to the attacker.",Companion-Abor's Augmented Ward,191939,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,5,15.5 seconds,Self,0.8 seconds,,,,,,,,,,,,,,,,,Necrom,6 seconds,,,,,,Damage Shield,Counter Attack,,,,,,,,
Online:Above and Beyond,Class Mastery,An assassin is only as good as their reputation. Increases your Critical Damage and Healing by 25%. This effect is reduced to 5% against targets with Battle Spirit. Increases your maximum Critical Damage and Healing by 30%.,Medium Armor-Dexterity,263605,12.0.0,"*This passive increases your Critical Damage and Healing by 15% (7% against players). It also increases your maximum potential Critical Damage and Healing by 25%, meaning it adds to the normal cap of 125%, bringing it to 150%.",,Passive,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Absorb,Restoration Staff,WITH RESTORATION STAFF EQUIPPED Restores 300 Magicka whenever you block an attack. This effect can occur once every.25 seconds.,Restoration Staff-Absorb,45521,7.1.5,"* This passive now procs on any successful block, rather than only against spells, which was already a half truth as it procced on plenty of non-spells as well. * Increased the restore to 300/600 Magicka on proc, up from 288/540. * This passive now has a 250ms internal cooldown.",Passive Effect,Passive,Increase Block,WITH RESTORATION STAFF EQUIPPED Restores 600 Magicka whenever you block an attack. This effect can occur once every.25 seconds.,Restore Magicka,28,,,,,,46,,,30869,45521,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Abyssal Emergence,Class Mastery,Dive deep into the abyss where power is yours to claim. Activating an Arcanist Ultimate immediately generates maximum Crux and grants you 666 Weapon Damage and Spell Damage for 15 seconds.,Curative Runeforms-Healing Tides,263316,12.0.0,"*Abyssal Emergence: This passive upgrades your Arcanist Ultimates to immediately generate 3 Crux upon activation, while also granting 666 Weapon and Spell Damage for 15 seconds after activating.",,Passive,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Abyssal Impact,Herald of the Tome,"Infuse your arm with abyssal magic to form tentacles that lash out at your foes, dealing 5303 Physical Damage. Enemies are immobilized for 3 seconds and marked with Abyssal Ink for [17 / 18 / 19 / 20] seconds. You deal 5% increased damage to enemies drenched in Abyssal Ink.",Herald of the Tome-Abyssal Impact,40185817,10.0.5,"* Cephaliarch’s Flail (morph): This morph now ranks up in 1.1% healing per rank, resulting in 3.3% additional healing at rank IV, rather than reducing its cost per rank, as the morph upgrade does not interact with cost at all and was offering too many unique advantages.",Magicka Cost,,Stamina Cost,"Cost: 3510 Magicka. Infuse your arm with abyssal magic to form tentacles that lash out at your foes, dealing [5303 / 5361 / 5419 / 5477] Frost Damage. Enemies are immobilized for 3 seconds and marked with Abyssal Ink for 20 seconds. You deal 5% increased damage to enemies drenched in Abyssal Ink. Consume all Crux and increase Tentacular Dread damage by 33% and damage to foes drenched in Abyssal Ink by 2% per Crux spent.",Physical Damage,,20,2984 Stamina,Area,0.3 seconds,Area of Effect,,ON-skill-Abyssal Impact (cast).jpg,Abyssal Impact and its morphs visual,,,"Infuse your arm with abyssal magic to form tentacles that lash out at your foes dealing 5303 Physical Damage and generating Crux. Enemies are immobilized for 3 seconds and marked with Abyssal Ink for 20 seconds. If an enemy is hit, you heal for [2650 / 2677 / 2708 / 2736] Health, once per cast. You deal 5% increased damage to enemies drenched in Abyssal Ink.",Cephaliarch's Flail,40183006,Generates Crux. Heals you if an enemy is damaged.,Tentacular Dread,40185823,Herald of the Tome-Tentacular Dread,Converts into a Magicka ability and deals Frost Damage. Consume Crux to increase the base damage and Abyssal Ink strength.,Herald of the Tome-Cephaliarch's Flail,Immobilize,,,Increase Damage Taken,Stamina,,Heal Self,,,,Frost Damage,,,,Increase Damage Dealt,,,15 meters
Online:Accelerate,Psijic Order,"Cost: [4050 / 3960 / 3870 / 3780] Magicka. Bend time and space around you to gain Major Expedition for 4 seconds and Minor Force for 20 seconds, increasing your Movement Speed by 30% and Critical Damage by 10%.",Psijic Order-Accelerate,40103503,5.0.5,"* Increased the duration of the Major Expedition buff from this ability and its morphs to 4 seconds from 3. Note Channeled Acceleration will now last 12 seconds, rather than 9. * Race Against Time (morph): ** This morph no longer reduces the cost of sprinting by 50% for 4 seconds. Instead, it now grants immunity to Snares and Immobilizations for 4 seconds. ** This ability no longer becomes cheaper as it ranks up. ** Reduced the Snare and Immobilization immunity to 1 second from 4 seconds. ** The immunity's duration now increases as the ability ranks up, up to a maximum of 2 seconds. *** Developer Comment: Since Accelerate is already such a powerful ability granting both damage and mobility potential at reduced costs, we wanted to ensure other abilities that grant similar functions of snare or immobilization immunity still had a place in builds. This is also seen with the Protective Plate ability, which already grants an incredibly powerful base function, so the standard 4 seconds duration is halved.",Increase Movement Speed,,Increase Critical Damage,"Bend time and space around you to gain Major Expedition for 4 seconds and Minor Force for 20 seconds, increasing your Movement Speed by 30% and Critical Damage by 10%. Activating this ability removes all snares and immobilizations from you and grants immunity to them for [2 / 2.7 / 3.3 / 4] seconds.",Remove Snares,,5,3780 Magicka,Self,Instant,Immunity,,ON-skill-Accelerate.jpg,The glowing effects on the wrists signify the effect is in use.,,,"Casting Time: 1.3 seconds, Cost: [3780 / 3690 / 3600 / 3510] Magicka. Bend time and space around you to gain Major Expedition for 12 seconds and Minor Force for 1 minute, increasing your Movement Speed by 30% and Critical Damage by 10%.",Channeled Acceleration,40103706,"Triples the duration, but adds a cast time.",Race Against Time,40103710,Psijic Order-Race Against Time,Grants immunity to snares and immobilizations for a short duration.,Psijic Order-Channeled Acceleration,Magicka Cost,Summerset,,,Magicka,,,,,,,,,,,,,
Online:Accelerated Growth,Green Balance,"When you heal yourself or an ally under 40% Health with a Green Balance ability you gain Major Mending, increasing your healing done by 16% for 2 seconds.",Green Balance-Accelerated Growth,85883,7.1.5,"* This passive now grants Major Mending for 2/4 seconds on proc, up from 1.5/3 seconds.",Near Death Effect,Passive,Increase Healing Done,"When you heal yourself or an ally under 40% Health with a Green Balance ability you gain Major Mending, increasing your healing done by 16% for 4 seconds.",Passive Effect,8,,,,,,18,,,85882,85883,,,,,,,,,,,Crown Store,,,,,,,,,,,,,,,40%,
Online:Accuracy,Bow,WITH BOW EQUIPPED Increases your Critical Chance rating by 657.,Bow-Accuracy,45492,6.3.5,"* This passive now grants Critical Chance rather than Weapon Critical. * Rank II now grants 6% Critical Chance, up from 5%.",Passive Effect,Passive,Weapon Critical,WITH BOW EQUIPPED Increases your Critical Chance rating by 1314.,Spell Critical,10,,,,,,25,,,30930,45492,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Accursed Charge,Volendrung,"Spring across the battlefield to smash an enemy, dealing 6300 Physical Damage.",Volendrung-Accursed Charge,117979,,,Charge,Artifact,Physical Damage,,No Cost,,1,Free,Enemy,Instant,,,ON-skill-Accursed Charge.jpg,Accursed Charge,,,,,,,,,,,,,,,,Stamina,28 meters,,,,,,,,,,,,
