Altmer,"""Is your purse as golden as you are? Please, show us!"""
Race-Specific Dialogue
"""This one does not accept the barter of trinkets or enchanted butterflies. Gold, only."""
Argonian,"""Come, erect your spine of trade, let us share our profits!"""
"""This one does not accept barter of sap or dark deeds. Gold, only."""
Bosmer,"""Valenwood has a long and rich history, do you know? Is its history rich in gold?""'"
"""When the world was young and Y'ffre taught creatures their ways, did he also teach them where he hid his gold?"""
"""This one does not accept barter of meat and bone. Gold, only."""
Breton,"""It is often said the nobles of High Rock build their keeps upon vast treasuries. Is this true? How do you know?"""
"""This one does not accept barter of holy objects or work in kind. Gold, only."""
Dunmer,"""Wealth beyond measure, muthsera?"""
"""This one does not accept barter of ash or scrib jelly. Gold, only."""
Imperial,"""The Red Diamond, the Ruby Throne, the White Gold Tower - many riches in Cyrodiil, yes?"""
"""This one does not accept barter of favors or threats. Gold, only."""
Khajiit,"""Bright moons, walker. Brighter yet if clad in gold, yes?"""
"""This one does not accept barter of moon-sugar or skooma. Gold, only."""
Nord,"""Be assured and rest easy - nothing here was pillaged from any ancient tomb!"""
"""Can you take gold with you to Sovngarde? Leave it here, it will be safe. Have faith!"""
Orc,"""The Orsimer have so long been trod upon by others, beaten down to rise again. Why not show them all - with your riches?"""
"""This one does not accept barter of blood or vexation. Gold, only."""
"""An old Orcish saying about money: 'Give me your money.'"""
Redguard,"""Many riches in the Alik'r Desert, it is said. Are you they?"""
"""This one does not accept barter of swords or sand. Gold, only"""
