Combination,Reagent 1,Reagent 2,Reagent 3
1,Beetle Scuttle,Fleshfly Larva,
2,Beetle Scuttle,Mudcrab Chitin,
3,Mudcrab Chitin,Blue Entoloma,White Cap
4,White Cap,Bugloss,Torchbug Thorax
5,Torchbug Thorax,Blessed Thistle,Dragonthorn
6,Dragonthorn,Stinkhorn,Water Hyacinth
7,Water Hyacinth,Emetic Russula,Lady's Smock
8,Lady's Smock,Columbine,Namira's Rot
9,Namira's Rot,Blessed Thistle,Nirnroot
10,Nirnroot,Butterfly Wing,Torchbug Thorax
11,Beetle Scuttle,Emetic Russula,Violet Coprinus
12,Violet Coprinus,Corn Flower,Lady's Smock
13,Blue Entoloma,Butterfly Wing,Spider Egg
14,Spider Egg,Imp Stool,Luminous Russula
15,Luminous Russula,Water Hyacinth,Wormwood
16,Wormwood,Columbine,Corn Flower
17,Bugloss,Mountain Flower,Columbine
18,Butterfly Wing,Namira's Rot,Scrib Jelly
19,Scrib Jelly,Emetic Russula,Fleshfly Larva
20,Fleshfly Larva,Nightshade,Stinkhorn
21,Imp Stool,Mountain Flower,Nirnroot
22,Mudcrab Chitin,Nightshade,Spider Egg
