Rumor,Quest (choice)
"|""I heard that someone overthrew the giant leader in Lower Yorgrim.""",Giant Problems
"|""Did you hear that someone is leading the giants that overran Lower Yorgrim?""",Giant Problems
"|""There's the one that made peace with the giants in Lower Yorgrim.""",Giant Problems
"|""You won't catch me visiting Lower Yorgrim. There are too many giants in that place.""",Giant Problems
"|""Did you hear that someone antagonized the giants into attacking Lower Yorgrim.""",Giant Problems
"|""I don't care if they're under control. I'm not going to Lower Yorgrim until the giants go away.""",Giant Problems
"|""The rumor is that some stranger helped route the Stormfist Brigade from Fort Morvunskar.""",Sleep for the Dead
"|""I heard that someone found a way into Fort Cradlecrush and defeated the Stormfist leader there.""",The Siege of Cradlecrush
"|""The Nords can be valuable allies. That is, when they're not fighting among themselves.""",Songs of Sovngarde
"|""Did you hear the Nords settled their quarrel without spilling any more blood? What a remarkable achievement!""",Songs of Sovngarde (Spare Fildgor)
"|""I heard there was an attempt on Jorunn the Skald-King's life.""",The War Council
"|""The Nord traitor is dead. Long live the champion, and long live the Skald-King!""",Songs of Sovngarde (Kill Fildgor)
"|""You're the one that saved Jorunn the Skald-King in Windhelm. Hail, hero!""","One Victor, One King"
"|""I heard there was a fight at the entrance to Sovngarde. I wish I could have seen such a thing!""",Songs of Sovngarde
