Item Name,Type,Zone,Alliance,How to Obtain
Khenarthi Skooma Pipe,Treasure,Khenarthi's Roost,Aldmeri Dominion,Starting zone lead
Ancient Fishing Rod,Treasure,Khenarthi's Roost,Aldmeri Dominion,Excavate Khenarthi Skooma Pipe
Pilazjo Training Blade,Treasure,Khenarthi's Roost,Aldmeri Dominion,Excavate Ancient Fishing Rod
Festival of Defiance Token,Treasure,Auridon,Aldmeri Dominion,Starting zone lead
Scale-Etched Slither Pipe,Treasure,Auridon,Aldmeri Dominion,Excavate Festival of Defiance Token
Aquiline Calian Sphere,Treasure,Auridon,Aldmeri Dominion,Excavate Scale-Etched Slither Pipe
Bosmer Hunting Horn,Treasure,Grahtwood,Aldmeri Dominion,Starting zone lead
Ayleid Statuette,Treasure,Grahtwood,Aldmeri Dominion,Excavate Bosmer Hunting Horn
Shatter Camoran Antler Crown,Treasure,Grahtwood,Aldmeri Dominion,Excavate Ayleid Statuette
Ancient Fertility Totem,Treasure,Greenshade,Aldmeri Dominion,Starting zone lead
Protective Tar Warding Sigil,Treasure,Greenshade,Aldmeri Dominion,Excavate Ancient Fertility Totem
Den of the Eldest Shoe,Treasure,Greenshade,Aldmeri Dominion,Excavate Protective Tar Warding Sigil
Spinner's Singing Bone,Treasure,Malabal Tor,Aldmeri Dominion,Starting zone lead
Jeweled Ayleid Scabbard,Treasure,Malabal Tor,Aldmeri Dominion,Excavate Spinner's Singing Bone
Silvenar's Scepter,Treasure,Malabal Tor,Aldmeri Dominion,Excavate Jeweled Ayleid Scabbard
Two Moons Censer,Treasure,Reaper's March,Aldmeri Dominion,Starting zone lead
Hunt-Lord's Djerid,Treasure,Reaper's March,Aldmeri Dominion,Excavate Two Moons Censer
Mane's Frayed Crown,Treasure,Reaper's March,Aldmeri Dominion,Excavate Hunt-Lord's Djerid
Hunding Sextant,Treasure,Stros M'Kai,Daggerfall Covenant,Starting zone lead
Goblin Steam Mill,Treasure,Stros M'Kai,Daggerfall Covenant,Excavate Hunding Sextant
Dwemer Astrological Charts,Treasure,Stros M'Kai,Daggerfall Covenant,Excavate Goblin Steam Mill
Orcish Siege Gear,Treasure,Betnikh,Daggerfall Covenant,Starting zone lead
Ayleid Tendrilled Eye,Treasure,Betnikh,Daggerfall Covenant,Excavate Orcish Siege Gear
Cornerstone of Reman II,Treasure,Betnikh,Daggerfall Covenant,Excavate Ayleid Tendrilled Eye
Manmer Coupled Idol,Treasure,Glenumbra,Daggerfall Covenant,Starting zone lead
Rislav Tryptic Panel,Treasure,Glenumbra,Daggerfall Covenant,Excavate Manmer Coupled Idol
Phynastic Scroll Case,Treasure,Glenumbra,Daggerfall Covenant,Excavate Rislav Tryptic Panel
Secession Stamp Block,Treasure,Stormhaven,Daggerfall Covenant,Starting zone lead
Nedic Hex Totem,Treasure,Stormhaven,Daggerfall Covenant,Excavate Secession Stamp Block
Direnni Palatial Art,Treasure,Stormhaven,Daggerfall Covenant,Excavate Nedic Hex Totem
House Tamrith Official Seal,Treasure,Rivenspire,Daggerfall Covenant,Starting zone lead
Northpoint Founding Coin,Treasure,Rivenspire,Daggerfall Covenant,Excavate House Tamrith Official Seal
Spire of Erokii Frieze,Treasure,Rivenspire,Daggerfall Covenant,Excavate Northpoint Founding Coin
Satakal Skinrazer,Treasure,Alik'r Desert,Daggerfall Covenant,Starting zone lead
Na-Totambu Two-Finger Gauntlet,Treasure,Alik'r Desert,Daggerfall Covenant,Excavate Satakal Skinrazer
Hegathe Divining Rod,Treasure,Alik'r Desert,Daggerfall Covenant,Excavate Na-Totambu Two-Finger Gauntlet
St Pelin's Clod,Treasure,Bangkorai,Daggerfall Covenant,Starting zone lead
Wyrd Root Figure,Treasure,Bangkorai,Daggerfall Covenant,Excavate St Pelin's Clod
Dwemer Trade Bar,Treasure,Bangkorai,Daggerfall Covenant,Excavate Wyrd Root Figure
Rune-carved Steering Oar,Treasure,Bleakrock Isle,Ebonheart Pact,Starting zone lead
Cloven Ritual Mask,Treasure,Bleakrock Isle,Ebonheart Pact,Excavate Rune-carved Steering Oar
High King Sunstone,Treasure,Bleakrock Isle,Ebonheart Pact,Excavate Cloven Ritual Mask
Basalt Table-Game Set,Treasure,Bal Foyen,Ebonheart Pact,Starting zone lead
Great House Gold Chalice,Treasure,Bal Foyen,Ebonheart Pact,Excavate Basalt Table-Game Set
Resdayni Signet Ring,Treasure,Bal Foyen,Ebonheart Pact,Excavate Great House Gold Chalice
Nedic Wineskin,Treasure,Stonefalls,Ebonheart Pact,Starting zone lead
Bronzed War Horn,Treasure,Stonefalls,Ebonheart Pact,Excavate Nedic Wineskin
Chimer Military Insignia,Treasure,Stonefalls,Ebonheart Pact,Excavate Bronzed War Horn
Coiled Snake Candlestick,Treasure,Deshaan,Ebonheart Pact,Starting zone lead
Torn Netch-leather Mask,Treasure,Deshaan,Ebonheart Pact,Excavate Coiled Snake Candlestick
Brittle Linen Pilgrimage Map,Treasure,Deshaan,Ebonheart Pact,Excavate Torn Netch-leather Mask
Child's Ragged Tree Doll,Treasure,Shadowfen,Ebonheart Pact,Starting zone lead
Silver Wish Medallion,Treasure,Shadowfen,Ebonheart Pact,Excavate Child's Ragged Tree Doll
