Location,Map,Quote
Stonefalls
Between two lava streams on the west side of Senie,25271,"Looks like a buyer's market around here, eh? Got to tell you, I see a lot of potential, mate. Lava-front views, open floor-plan, plenty of ventilation …. It's a gold mine!"
"On an island in the river north of the Brothers of Strife, above Armature's Upheaval",25272,"Definitely a breach nearby. And ooh, it's a rowdy one! This place is tense, eh? Might have something to do with the mountains strangling each other. Who's to say?"
"On top of the ridge above Vivec's Antlers, on the west side",25273,"What a view! Aside from the coral over there. Be glad your silly face-holes can't smell colors. Ugh! That orange! It smells like … old figs fell out of an ogre's bottom. Let's find this breach, eh?"
Eastmarch
Next to one of the larger steam pools at Wittestadr,25278,"Breach ho, mate! While you look, I will regale you with a hilarious joke! What do you call a lygosmotic dream-wave on its birthday? A ventswattle! Get it? A ventswattle? Oh, never mind."
"Across the river from Darkwater Crossing, by the waterfalls southeast of Fort Amol",25279,"Be careful around here, mate. This breach is surrounded by trolls. They're a lot smarter than you think. They're banging rocks together now, sure-but once they start wearing pants? Look out."
In the river by the bridge east of Cradlecrush,25280,"Snow! Can we make a snow-thing? Snow-person? Whatever? You know, if you make it right, it develops a sad little soul! 'Course it melts later. Bit of a shame, that. But we can name it and everything!"
The Rift
Northeast of Fort Greenwall,25274,"So, Staff of Towers, eh? Lots of peril there, mate. I've got to admit, though, I'm very exited to see how it turns out! I'd say, what? Sixty-percent chance time folds inside-out? We'll see!"
Just outside Snapleg Cave,25275,"This stream's a pleasant enough place for a breach. Just watch out for beavers, eh? Sure they look friendly enough-but they're just little waddling balls of hatred. Seriously!"
"At the top of the steps near the Throat of the World, west of Ivarstead",25277,"Another breach ahead, mate. Uh oh. I see many many stairs in our future. Well, your future. No legs, remember? But don't worry-I'll be right behind you … doing very little."
