Quest,Azandar's Commentary
Keeper of the Fate,"""Peryite worshipers are the lowest of the loathsome. Superlative work, cohort."""
Fate's Lost Dream,"""I'm using every iota of restraint not to beg Mora to know what's in that Vault. I'm a professional, you see."""
Spirit of Fate,"""If I had a coin for every ambitious idiot that went insane trying to decipher a Black Book I could pay for my own research! Hah!"""""
Fate's Proxy,"""Key, Rite, and Door. And a name, Torvesard. I love a good mystery!"""
A Hidden Fate,"""That Torvesard has even succeeded to this extent is astonishing. What might the Fateweaver Key see among his loci, I wonder?"""
Conclave of Fate,"""Shelreni's fate is precisely why I've kept my relationship with Hermaeus Mora at tentacle's length. Daedric princes are wells of fathomless power... right up until they are very much not. And then you die."""
A Calamity of Fate,-
An Unhealthy Fate,"""To have been able to play a role in restoring Apocrypha to constancy … it's more than this scholar could ever have hoped for. Peerless as always. Peerless."""
Chronicle of Fate,"""A … forgotten Prince! An entire Daedric Prince! Heretofore unknown by the academic community! And thanks to our current circumstances, I can't write a paper about it? Truly, my meddling in fate has cursed me!"" (After speaking with Hermaeus Mora)"
"""To think, my colleague is now eternally listed in a codex that sits within Mora's personal library. And I, Azandar al-Cybiades played a part in the tale. Hah! Now, what say we get some celebratory tea?"" (Completing Quest)"
