Zone / Dungeon,Specific Location,Reaction,Difficulty,Health
Cyrodiil,"Wooded areas, Outside and inside Serpent Hollow Cave",Hostile,,aa (no-CP) cyraa (CP)
Glenumbra,Beldama Wyrd Tree,Hostile → Neutral,,w
Eastmarch Western Skyrim,Northwest of Cragwallow At a game trap outside Mor Khazgur during the quest A Clan Divided,N/A,,0 (dead)
Direfrost Keep,Throughout the dungeon,Hostile,,
Dragonstar Arena,Round 2: The Frozen Ring,Hostile,,
WrothgarOrsinium,"Morkul Stronghold: Axe and Bridle Orsinium: Shatul Clan Corral, Skalar's Hostel's stables",Friendly,,1
WrothgarOrsinium,"Throughout the zone, Bonerock Cavern, Forlorn Watchtower, Frozen Fleet, Old Orsinium, SorrowOrsinium",Hostile,,s
March of SacrificesWolfhunter,Throughout the dungeon,Hostile,,
Western Skyrim High Isle,"Chillwind Depths, Frozen Coast Spriggan's Crown",Hostile,,sh
Oathsworn PitScions of Ithelia,Lodge of the Fist,Hostile,50px,
Online:|,ON:|,,,
