Ingot,Craft Into
,Iron Ingot,Iron Armor and Weapons (Level 1-14)
,Steel Ingot,Steel Armor and Weapons (Level 16-24)
,Orichalcum Ingot,Orichalc Armor and Weapons (Level 26-34)
,Dwarven Ingot,Dwarven Armor and Weapons (Level 36-44)
,Ebony Ingot,Ebon Armor and Weapons (Level 46-50)
,Calcinium Ingot,Calcinium Armor and Weapons (CP10-CP30)
,Galatite Ingot,Galatite Armor and Weapons (CP40-CP60)
,Quicksilver Ingot,Quicksilver Armor and Weapons (CP70-CP80)
,Voidstone Ingot,Voidsteel Armor and Weapons (CP90-CP140)
,Rubedite Ingot,Rubedite Armor and Weapons (CP150-CP160)
