Zone / Dungeon,Specific Location,Difficulty,Condition,Health
Castle of the Worm,Summoned by Mannimarco at the Tower Summit,50px,,
Sancre Tor,Inner chamber Summoned at the second shrine in the Reman Vault Summoned during the fight against Mannimarco,50px,,"252,136 201,709 † 163,888 ‡ 126,068 •"
Cyrodiil,"Haynote Cave, Lipsand Tarn, Pothole Caverns, Underpall Cave",50px,,"eh (no-CP), cyreh (CP)"
Tamriel,Summoned by bonelords,,,The summoner's current Health
Tamriel Imperial CityImperial City,Dark Fissures Memorial DistrictImperial City,50px,,em
The Banished Cells II,Summoned by Dremora Hauzkyn,50px,,
Spindleclutch II,Summoned by Vampire Bonelords,,,
Wayrest Sewers II,Before and after Malubeth the Scourger,50px,,
Blackheart Haven Crypt of Hearts I,After Atarus After Death's Leviathan,50px,,
Vernim Woods,Summoned by Stral Blackthroat in the Vaults of Vernim,,,s
Aba-Loria The Wailing Maw,Beside Cirterisse The whole delve,,,"15,165"
The Manor of Revelry,Last room of the manor cave,50px,,dba
Risen Court,Raised by Brolsgerbwd,50px,,"923,059"
Vaults of Madness,After Ulguna Soul-Reaver,50px,,
Summoned by Dremora Bonelords,,,
Craglorn,The Seeker's Archive Shada's Tear (Burial Grounds) Skyreach Catacombs,50px,,"237,066"
Imperial SewersImperial City,Barathrum Centrata,50px,em
Imperial City PrisonImperial City,Prison District (summoned by Xivkyn Necromancers),,,
Lost Sanctum (summoned by the Lord-Warden's Necromancer),,,
Maelstrom ArenaOrsinium,Stage 1: Vale of the Surreal,50px,,
"Stage 9: Theater of Despair, possible summon by Dremora Narkynaz",50px,,
Fang LairDragon Bones,The whole dungeon,,,
Summoned during the fight against Lizabet Charnis,,,
Running though the crystal rooms,,,
Summoned during the fight against Thurvokun,,,
Blackrose PrisonMurkmire,Round 3: Vampire's Pen,,,
DragonscoursDragonhold,Summoned by dragons,50px,,"479,511"
Unhallowed GraveHarrowstorm,Throughout the dungeon,50px,,
Labyrinthian,"Throughout the dungeon, Summoned by Garneld the Hollow",50px,Frozen,eh
The Dread CellarWaking Flame,Magma Incarnate's Arcless Oubliette room,50px,,(Hard Mode)
Mor Naril Vosgah Shrine,Summoned by Mannimarco Summoned by Wormblood,,,"31,967"
Writhing Fortress,East Wing upper route,50px,,"2,414,184"
Online:|,,,,
