Locations,Specific Location,Condition,Class,Health
Tamriel,Summoned by necromancers,,Feral,"Summoner's current Health, up to a maximum of 80% of the summoner's Max Health"
Glenumbra Reaper's March Coldharbour Imperial SewersImperial City Vvardenfell Summerset High Isle and Amenos Solstice,"Enduum Thibaut's Cairn Mal Sorra's Tomb Antediluvian Vaults, Wavering VeilImperial City Veloth Ancestral Tomb Cey-Tarn Keep - The Gorge All Flags Islet, Garick's Rest, The Ghost Ship, Spire of the Crimson Coin Carapace Cavern Shrine, Near Corelanya Manor, Fissure Ruins, Tarnur Mine, Vosgah Shrine, Camp below and Worm Cult camp west of Gristmung Hold",,Feral,a
Malabal Tor,In a cave northeast of Tanglehaven,,Foot Soldier,s
Shada's Tear,Burial grounds,,Feral,"62,200"
Fang LairDragon Bones,Throughout the dungeon,,Feral,
Summoned during the fight against Lizabet Charnis,,Feral,
Summoned during the fight against Thurvokun,,Feral,
Bok-XulMurkmire,Summoned by Baxilt-Gah,,Feral,"22,402"
Sepulcher of Mischance,Summoned by Zumog Phoom,,Feral,200
Labyrinthian,Dungeon occupants,Frozen,Feral,w
Summoned by Garneld the Hollow,Frozen,Feral,
Bloodrun Cave,Delve occupants,,Feral,w
Summoned by Tumma-Maxath,,Feral,
Infinite Archive,Archival Wings,,Fire Mage,Varies
Anchre Egg Mine,Delve Occupants,,Ravager,a
Vosgah Shrine,Summoned by Wormblood,,Feral,"15,984"
Summoned by Wormblood,,Feral,"19,117"
Wormblood's Bone Flayer barrage phase,,Feral,200
Gristmung Hold,Gate Courtyard,,Feral,"12,471"
Eastern Solstice,Southwest of Soulcaller's Haunt,,Feral,fa
Mor Naril,Zone occupants,,,a
Summoned by Mannimarco,,,w
Summoned and blessed by Mannimarco,,,"36,692"
Xul-Haj,Zone occupants,,Feral,a
w
Sorrow's Friend,Zone occupants,,,"301,136"
Online:|,,,Feral,
