Command,Audience,Audience Can be Anywhere
/s or /say,Players in the surrounding area (this is the default channel),
"/e, /emote, /me","Players in the surrounding area; has a different display format to /say, used to roleplay character actions (e.g., /me waves would give a chat result of ""[Name] waves"")",
"/g, /group, /p, or /party",Players who are currently part of the user's group,
"/g#, /guild#","Members of the guild, where # is 1 through 5 corresponding to one of the 5 guilds you may belong to (e.g., /guild1 )",
"/o#, /officer#","Officers of the guild only, where # is 1 through 5 corresponding to one of the 5 guilds you may belong to (e.g., /officer1 )",
"/t, /tell, /w, or /whisper","A user who is indicated by @AccountName (e.g., /whisper @ExampleUser would cause subsequent messages to only be heard by ExampleUser)",
"/r, /reply, or /respond",The user who last whispered you as the target.,
/y or /yell,Players in the surrounding area (wider than /say but not as wide as /zone ).,
/z or /zone,"Players who are in the same zone. In Cyrodiil or the Imperial City, only members of your own Alliance will see it.",
/dez or /dezone,German-speaking players who are in the same zone.,
/enz or /enzone,English-speaking players who are in the same zone.,
/frz or /frzone,French-speaking players who are in the same zone.,
/jpz or /jpzone,Japanese-speaking players who are in the same zone.,
/ruz or /ruzone,Russian-speaking players who are in the same zone.,
/esz or /eszone,Spanish-speaking players who are in the same zone.,
/zhz or /zhzone,Chinese-speaking players who are in the same zone.,
