Location,Name,Race,Gender,Health
Murkmire,Blackguard Chemist,Naga,Varies,ba
Chid-Moska Ruins,Blackguard Alchemist,Argonian,Varies,ba
Darkpool Mine,Daegonic Alchemist,Khajiit,Varies,ba
Northern Elsweyr,Euraxian Alchemist,Imperial,Varies,ba
Orcrest,Alchemist Zhininda,Khajiit,Female,399592
Orcrest,Diseased Alchemist,Khajiit,Varies,ba
Rimmen Necropolis,Dremora Alchemist,Dremora,Varies,ba
Moongrave Fane,Hollowfang Bloodbrewer,Khajiit,Varies,
Southern Elsweyr,Black Gull Alchemist,Khajiit,Varies,ba
Southern Elsweyr,Cat Gut Shipburner,Khajiit,Varies,ba
Southern Elsweyr,New Moon Chemist,Khajiit,Varies,ba
Southern Elsweyr,Sugar-Tooth Moonmixer,Khajiit,Varies,ba
Tamriel,Death Hunter Alchemist,Nord,Varies,ba
Nchuthnkarst,Pirate Alchemist,Altmer,Varies,ba
Dragonhome,Dragon Cult Alchemist,Nord,Varies,ba
Stone Garden,Stone Garden Alchemist,Dunmer,Varies,
