Source,Class,Type,Affects,Effect
Flawless Ritual (Champion Star),Any,Passive,-,Increases chance of applying Magical Status Effects by 30%/60%
Glacial Presence (Winter's Embrace),Warden,Passive,-,"Increase chance of applying Chilled to enemies with Winter's Embrace abilities by 100%/200%. Increases the damage of your Chilled status effect by 308/613, scaling off your highest offensive stat."
Arctic Blast (Winter's Embrace),Warden,Active Skill (morph),Area of Effect,Increased chance to apply Chilled (15% chance per tick)
Impaling Shards (Winter's Embrace),Warden,Active Skill,Area of Effect,Increased chance to apply Chilled
Gripping Shards (Winter's Embrace),Warden,Active Skill (morph),Area of Effect,Increased chance to apply Chilled
Winter's Revenge (Winter's Embrace),Warden,Active Skill (morph),Area of Effect,Increased chance to apply Chilled
Permafrost (Winter's Embrace),Warden,Ultimate Skill,Area of Effect,Guaranteed apply each tick
Psychic Lesion (Herald of the Tome),Arcanist,Passive,-,Increases Status Effects damage by 7%/15% and Status Effects Chance by 27%/55%
Weapon with Frost Enchantment,Any,Core Combat,Single Target,20% base chance
Elemental Force (Destruction Staff),Any,Passive,-,Increases chance of applying Status Effects by 50%/100% for all your attacks when you have a Destruction Staff equipped.
Ancient Knowledge (Destruction Staff),Any,Passive,-,Increases Status Effects damage by 6%/12% while wielding an Inferno Staff
Destructive Touch (Destruction Staff),Any,Active Skill,Single Target,Guaranteed apply on initial hit while wielding an Ice Staff
Destructive Clench (Destruction Staff),Any,Active Skill (morph),Single Target,Guaranteed apply on initial hit while wielding an Ice Staff
Destructive Reach (Destruction Staff),Any,Active Skill (morph),Single Target,Guaranteed apply on initial hit while wielding an Ice Staff
Elemental Susceptibility (Destruction Staff),Any,Active Skill (morph),Single Target,"Guaranteed apply every 7,5 seconds for 30 seconds"
Pulsar (Destruction Staff),Any,Active Skill (morph),-,Triples the chance of applying the Status Effect of your Destruction Staff.
Elemental Weapon (Psijic Order),Any,Active Skill (morph),Single Target,"Next light attack within 2 seconds applies either Burning, Concussion or Chill"
Elemental Explosion with Assassin's Misery script,Any,Active Skill,Area of Effect,"Applies Burning, Chill and Concussion"
Traveling Knife with Assassin's Misery script,Any,Active Skill,Area of Effect,Increases the chance to apply status effects on enemies by 100% for 10 seconds.
Symmetry of the Weald (5 pieces),Any,Set,-,+200% Status Effects chance if you are over 50% Health
Serpent's Disdain (5 pieces),Any,Set,-,Increase Status Effects duration by 16 seconds
Perfected / Concentrated Force (2 pieces),Any,Set,Single Target,Guaranteed apply every second cast of Force Shock
Caluurion's Legacy (5 pieces),Any,Set,Single Target,Guaranteed apply if the set launches the frost projectile
Spattering Disjunction (5 pieces),Arcanist,Set,Single Target,"Dealing damage with an Arcanist ability applies 2 random Status Effects, up to every 7 seconds"
Frozen Watcher (5 pieces),Any,Set,Area of Effect,Increased chance to apply Chilled (15% chance per tick)
Hrothgar's Chill (5 pieces),Any,Set,Area of Effect,Guaranteed apply to all enemies in a 8 meter radius
Glacial Guardian (5 pieces),Any,Set,Area of Effect,Enemies touching the tether have +200% Status Effect chance
Threads of War (5 pieces),Any,Set,Varies,Your Light and Heavy attacks gain 100% Status Effect chance
Frost Lancer,Any,Siege Weapon,Area of Effect,Guaranteed Apply on hit.
