Zone / Dungeon,Specific Location,Difficulty,Condition,Health
Cyrodiil,"Belda, Dark Anchors",,,s (no-CP) cyrs (CP)
Tamriel,Summoned by Dremora Harstryl Summoned by daedric Pet Rangers,,,The daedric pet ranger's current Health
Dawnbreak,Throughout the town,,,0
Heretic's Summons,Summoned by Snapjaw,50px,,"60,418"
The Banished Cells I,Summoned by Angata the Clannfear Handler,,,
The Banished Cells II,The whole dungeon,,,
50px,,
City of Ash II,Inner Grove Knives of Discord,,,
Obsidian Scar,Summoned by Zilbash the Deceiver,,,w
Nchu Duabthar Threshold,Summoned during the escape sequence,,,
Village of the Lost,Subterranean Cavern,,,s
Summoned before fighting Zatalguch,,,"42,000"
Dragonstar Arena,Round 7: The Circle of Rituals,,,
Elinhir,"East tower, with Avys Areleth and Nazullu",,,
The Howling Sepulchers Imperial CityImperial City Telvanni Peninsula,"Summoned by Shade of Akiirdal Antediluvian Vaults, Barathrum Centrata, Elven Gardens District (Summoned by the Screeching Matron), Irrigation Tunnels, Lambent Passage, Nobles DistrictImperial City Gorne",,,a
WrothgarOrsinium,Unfinished Dolmen,50px,,"90,628"
Maelstrom ArenaOrsinium,Stage 1: Vale of the Surreal,,,
Stage 9: Theater of Despair,,Projection,
The CauldronFlames of Ambition,"Entrance of Dungeon, Extraction Chamber",,,
Vateshran Hollows: The Brimstone DenMarkarth,Brimstone Den done first,50px,,
Brimstone Den done second,50px,,
Brimstone Den done third,50px,,
Fort Redmane,Location occupants,,,s
Summoned by Councilor Vandacia,,,
Rockgrove,Summoned by Xalvakka,,,(Hard Mode)
The Dread CellarWaking Flame,Dungeons,,,
"Apocrypha, Telvanni Peninsula",Summoned by Herald's Seekers,50px,,"112,206"
Bastion Nymic,Dreaming Quarter,,,"275,051"
Battle for the Writhing Wall event,Invaded delves and public dungeons,,,"90,556"
Writhing Fortress,Fortress Wings,,,"160,944 241,416"
Middle Wing and Zysax's fight,50px,,"1,609,456"
Sorrow's Friend,Near and summoned by Brazen Kynmarcher Strix,,,"316,986 / 475,478"
ON:|,ON:|,50px,,
