Tailoring,Amount,Material,,Reward
1,15-18,Jute / Rawhide,1000,Clothier's Satchel I
2,18-21,Flax / Hide,2000,Clothier's Satchel II
3,21-24,Cotton / Leather,4000,Clothier's Satchel III
4,24-27,Spidersilk / Thick Leather,6000,Clothier's Satchel IV
5,27-30,Ebonthread / Fell Hide,8000,Clothier's Satchel V
6,30-33,Kresh Fiber / Topgrain Hide,10000,Clothier's Satchel VI
7,33-36,Ironthread / Iron Hide,13000,Clothier's Satchel VII
8,36-39,Silverweave / Superb Hide,16000,Clothier's Satchel VIII
9,39-42,Void Cloth / Shadowhide,20000,Clothier's Satchel IX
10,39-42,Ancestor Silk / Rubedo Leather,20000,Clothier's Satchel X
