Zone / Dungeon,Specific Location,Difficulty,Condition,Health
Tamriel,Summoned by Argonian Behemoths,50px,,"39,520"
Wayrest Sewers I,Throughout the sewers,50px,,
City of Ash II,Whisper Grove,,,
Hoarvor Pit,River area of the delve,,,s
Old S'ren-ja Docks,In the waters near Ysolmarr the Roving Pyre,,,"15,165"
a
Craglorn,"Hircine's Haunt, Zalgaz's Den",,,"62,200"
Lower Craglorn,Bodies of water in the region,,,"47,046"
Dragonstar Arena,Round 3: The Marsh,,,
Clockwork CityClockwork City,"Evergloam, The Shadow Cleft",,Shadow,a
MurkmireMurkmire,Being eaten by other creatures,,,0 (dead)
Blackrose PrisonMurkmire,"Round 2: Hall of Beasts, Round 4: Mess Hall of Misery",,,
Moongrave FaneScalebreaker,In the river at the entrance,,,
The Silent Halls,Public dungeon occupants,,,a
Fighting against hackwings,,,fa
Online:|,,50px,
