Set,Weight,5 piece bonus
Affliction,Heavy,"When you deal damage, you deal 428 Disease damage to the target. This damage immediately applies the Diseased status effect, applying Minor Defile to the target, reducing their Healing Received and Health Recovery by 8% for 4 seconds. This set can occur once every 4 seconds and scales off the higher of your Weapon or Spell Damage."
Azureblight Reaper,Medium,"When you deal damage with a damage over time effect, you apply a stack of Blight Seed to your target for 5 seconds. At 20 stacks, the Blight Seed explodes, dealing 2268 Disease Damage to the target and nearby enemies, scaling off the higher of your Weapon or Spell Damage."
Corpseburster,Any,"Consuming a corpse causes the corpse to explode, dealing 1298 Disease Damage to enemies within 5 meters and applying the Diseased status effect and Minor Breach to them for 5 seconds, reducing their Physical and Spell Resistance by 2974. This effect can occur once every 0.5 seconds, scales off the higher of your Weapon and Spell Damage, and deals 10% more damage for each Grave Lord ability slotted."
Caluurion's Legacy,Light,"When you deal direct Critical Damage with a single target attack, you launch a projectile at your target that deals 2674 Flame, 2674 Frost, 2674 Shock, or 2674 Disease damage and applies the respective status effect. This effect can occur once every 10 seconds and scales off the higher of your Weapon or Spell Damage."
Lady Thorn,Any,Casting an ability that costs Health spawns a blood ball for 10 seconds. This effect can occur once every 10 seconds.
Legacy of Karth,Any,Enemies affected by your alchemic poisons take 371 Disease Damage every 1 second. This effect scales off the higher of your Weapon or Spell Damage.
Maarselok,Any,"When you deal damage with a melee Heavy Attack, you spew a cone of corruption, dealing 1492 Disease damage to enemies over 4 seconds. This damage is increased by 2% for each negative effect the enemies have. This effect can occur once every 10 seconds and scales off your Weapon Damage."
Phylactery's Grasp,Medium,"On Light Attack Critical Damage, you apply Withered Soul, dealing 1500 Disease damage over 10 seconds. On Light Attack Critical Damage on an enemy with Withered Soul, restore 13-575 Stamina. Withered Soul can occur once every 10 seconds and the damage scales off the higher of your Weapon and Spell Damage."
Plaguebreak,Medium,"Dealing direct damage causes player enemies to become a Plague Carrier, dealing 1000 Disease damage over 10 seconds and applying the Diseased status effect. If the plague is removed early it explodes and deals 735 Disease damage to all enemies within 8 meters of the carrier, increasing by 50% per enemy hit. This effect can occur once every 20 seconds per target, once per attack, and scales off the higher of your Weapon and Spell Damage."
Swamp Raider,Medium,Adds 13-600 Weapon Damage to your Poison and Disease Damage abilities.
The Morag Tong,Medium,"When you deal direct damage, you cause the enemy to take 10% more damage from Poison and Disease attacks for 5 seconds."
Thurvokun,Any,"When you take damage from a nearby enemy, you summon a growing pool of desecrated bile for 8 seconds. Enemies in the bile take 195 Disease damage every 1 second and are afflicted with Minor Maim and the Diseased status for 4 seconds, reducing their damage done by 5% and healing received and Health Recovery by 8%. This effect can occur every 16 seconds and the damage scales off your Max Health."
Velidreth,Any,"When you deal damage, you have a 20% chance to spawn 3 disease spores in front of you after 1 second that deal 2429 Disease damage to the first enemy they hit. This effect can occur once every 8 seconds and scales off the higher of your Weapon or Spell Damage."
