Shout,Translated,Corresponding ability
Al Gron Nok,Destroyer Bind Lie,Summon Atronach
Bex Miir Kein,Open Path War,
Bo Het Lo,Fly Here Deceive,
Daal Tiid Zaam,Return Time Slave,Time Portal
Dey Rah Zaam,False Gods Slave,Animated Vigil Statue
Diil Qoth Zaam,Undead Tomb Slave,
Diiv Mir Tah,Wyrm Allegiance Pack,Summon Wyrm
Du Kun Shaan,Devour Moonlight Inspire,"(Event Based, absorbs energy from Jodes core)"
Fo Krah Diin,Frost Cold Freeze,Frost Breath
Fo Iiz Gron,Frost Ice Bind,(Ice storm Ice Dragon)
Fus Ro Dah,Force Balance Push,Unrelenting Force
Gaan Lah Haas,Stamina Magicka Health,Drain Vitality
Gaar Toor Nah,Release Inferno Fury,Cataclysm (Yolnahkriin)
Golt Mah Nos,Ground Fall Strike,
Jiid So Daan,Moon Sorrow Doom,Meteor Storm
Jol Fus Daal,Unsteady Force Return,Rift Pull (Bahlokdaan)
Jud Hof Liik,Queen ??? ???,
Kren Qeth Gol,Break Bone Earth,
Krii Lun Aus,Kill Leech Suffer,Marked For Death
Kriid Iiz Gron,Slayer Ice Bind,
Lok Diil On,Rise Undead Spirit,Raise Dead
Mid Vur Shaan,Loyal Valor Inspire,Battle Fury (On Atronach Minions)
Mul Bah Rein,Strong Wrath Roar,
Nel Jaag Moh,??? ??? ???,
Qeth Krii Gol,Bone Kill Earth,Earth Spike
Rii Vaaz Bex,Essence Tear Open,
Rii Vaaz Zol,Essence Tear Zombie,Soul Tear
Riis Thaan Kohg,??? ??? ???,
Roth Nihn Fey,Vine Poison Grove,Summon Strangler
Sos Jiid Viin,Blood Moon Shine,Moon Blast
Sov Ag Slen,Shock Burn Flesh,Lightning Breath
Strun Bah Qo,Storm Wrath Lightning,Storm Call
Tiid Grah Kron,Time Battle Conquer,
Tiid Klo Ul,Time Sand Eternity,Time Stop
Toor Vol Daan,Inferno Horror Doom,Dark Aeon Breath
Vah Yol Ron,Spring Fire Rain,Fire Storm (Nahviintaas)
Viir Su Pook,Dying Air Stink,Plague Breath
Wiix Lo Feim,Trap Deceive Fade,
Yol Toor Shul,Fire Inferno Sun,Fire Breath
Zey Qeth Lok,Brother Bone Rise,
