Zone / Dungeon,Specific Location,Difficulty,Health
The Wailing Prison,Combat tutorial,,"12,546"
Firsthold,Throughout the city during the Daedra invasion,,0
The Banished Cells II,Throughout the dungeon,,
City of Ash II,Knives of Discord,,
The Seeker's Archive,Interior,,"59,236"
Cyrodiil Dragonfire CathedralImperial City,Bruma Summoned while defending the ritualImperial City,,ba (no-CP) cyrba (CP)
Maelstrom ArenaOrsinium,Stage 8: Igneous Cistern,50px,
Stage 9: Theater of Despair,,
Vateshran Hollows: The Brimstone Den Outside The Pyrelord's arenaMarkarth,Brimstone Den done first,50px,
Brimstone Den done second,50px,
Brimstone Den done third,50px,
Online:|,,,
