Zone / Dungeon,Specific Location,Difficulty,Reaction,Class,Health
The Wailing Prison,The Bleeding Forge (Combat Tutorial),,Hostile,Brute,"12,546"
Castle of the Worm Halls of Submission Sanguine's Demesne Greenshade,"Tower Summit Throughout the location Thoughout the dungeon Isles of Torment, Moonhenge",,Hostile,Knight,aa
Cyrodiil,Cloud Ruler Temple,,Hostile,Knight,"a (no-CP), cyr (CP)"
Glenumbra,At an ancient Wyrd site on the beach near Merovec's Folly during the quest Mastering the Talisman,50px,Hostile,Thundermaul,
Elden Hollow II,,,Hostile,Ravager,
Tribunal Temple Shadowfen,Inside the temple during the quest The Seal of Three Near Xal Ithix,,Hostile,Ravager,a
City of Ash I,Throughout the dungeon,,Hostile,Brute,
City of Ash II,Knives of Discord,,Hostile,Brute,
Honrich Tower,Summoned from portals during the quest Shattered Hopes,50px,Hostile,Knight,
Coldharbour,Aba-Darre,,Hostile,Fire Mage,a
The Seeker's Archive,Interior,,Hostile,Knight,"62,200"
Temple DistrictImperial City,Throughout the location,,Hostile,Knight,a
Temple of the One event,,Hostile,Knight,"21,955"
Imperial City PrisonImperial City,"Bastion, Imperial Prison, Imperial Subterrane, Unnatural Caverns",,Hostile,Knight,
Ardent HopeThe Deadlands,At the end of the Path of Cinders,,Friendly,None,ncf
Online:|,,50px,,
