,Increase Attribute Maximum Value by,
,Name,Food Level,Dish Type,Health,Magicka,Stamina,Dur (mins)
,Swill,1,Tonic,,,37,35
,Swill,1,Tonic,,,37,35
,Swill,8,Alcohol,82,,,35
,Swill,8,Alcohol,82,,,35
,Swill,8,Tea,,75,,35
,Swill,8,Tea,,75,,35
,Swill,8,Tea,,75,,35
,Swill,8,Tea,,75,,35
,Swill,8,Tonic,,,75,35
,Swill,8,Tonic,,,75,35
,Swill,8,Tonic,,,75,35
,Swill,8,Tonic,,,75,35
,Swill,17,Alcohol,165,,,35
,Swill,17,Alcohol,165,,,35
,Swill,22,Alcohol,206,,,35
,Swill,22,Alcohol,206,,,35
,Swill,22,Tea,,189,,35
,Swill,22,Tea,,189,,35
,Swill,27,Alcohol,247,,,35
,Swill,27,Alcohol,247,,,35
,Swill,27,Tea,,226,,35
,Swill,27,Tea,,226,,35
,Swill,27,Tonic,,,226,35
,Swill,27,Tonic,,,226,35
,Swill,32,Alcohol,289,,,35
,Swill,32,Alcohol,289,,,35
,Swill,32,Tonic,,,264,35
,Swill,32,Tonic,,,264,35
