,Name,Food Level,Dish Type,Health,Magicka,Stamina,Dur (mins)
,Increase Attribute Maximum Value by,
,Flat Golden Lager,1,Alcohol,38,,,35
,Flat Nut Brown Ale,1,Alcohol,38,,,35
,Flat Red Rye Beer,1,Alcohol,38,,,35
,Murky Jasmine Tea,1,Tea,,35,,35
,Murky Mint Chai,1,Tea,,35,,35
,Murky Rose Herbal Tea,1,Tea,,35,,35
,Cloudy Ginkgo Tonic,1,Tonic,,,35,35
,Cloudy Guarana Tonic,1,Tonic,,,35,35
,Cloudy Comberry Chai,5,Alcohol,77,,,35
,Flat Mazte,5,Alcohol,77,,,35
,Flat Mazte,5,Alcohol,77,,,35
,Flat Surilie Syrah Wine,5,Alcohol,77,,,35
,Murky Bitter Tea,5,Tea,,70,,35
,Murky Lotus Tea,5,Tea,,70,,35
,Cloudy Black Coffee,5,Tonic,,,70,35
,Flat Clarified Syrah Wine,10,Alcohol,115,,,35
,Flat Lemon Flower Sake,10,Alcohol,115,,,35
,Flat Four-Eye Grog,10,Alcohol,115,,,35
,Murky Honeyberry Tea,10,Tea,,105,,35
,Murky Morning Reveille Tea,10,Tea,,105,,35
,Murky Sweetsting Tea,10,Tea,,105,,35
,Cloudy Meady-Matey Infusion,10,Tonic,,,105,35
,Cloudy Tonsil Tingle Tonic,10,Tonic,,,105,35
,Cloudy Yellow Goblin Tonic,10,Tonic,,,105,35
,Flat Old Clear-Eye Whiskey,15,Alcohol,154,,,35
,Flat Tawny Port,15,Alcohol,154,,,35
,Murky Gingerose Tea,15,Tea,,140,,35
,Murky Green Scourgut Tea,15,Tea,,140,,35
,Murky Sourflower Tea,15,Tea,,140,,35
,Cloudy Isinmate Infusion,15,Tonic,,,140,35
,Cloudy Kelp Kaveh,15,Tonic,,,140,35
,Cloudy Sweetberry Tonic,15,Tonic,,,140,35
,Flat Eltheric Hooch,20,Alcohol,192,,,35
,Flat Gossamer Mazte,20,Alcohol,192,,,35
,Murky Bitterlemon Tea,20,Tea,,175,,35
,Murky Treacleberry Tea,20,Tea,,175,,35
,Cloudy Barley Nectar,20,Tonic,,,175,35
,Cloudy Sujamma,20,Tonic,,,175,35
,Cloudy Yerba Zinger Tonic,20,Tonic,,,175,35
,Flat Ginger Wheat Beer,25,Alcohol,231,,,35
,Flat Honey Rye,25,Alcohol,231,,,35
,Murky Enlightenment Tea,25,Tea,,210,,35
,Murky Mead de Menthe,25,Tea,,210,,35
,Murky Thrassian Chai,25,Tea,,210,,35
,Cloudy Athlete's Guzzle,25,Tonic,,,210,35
,Cloudy Ginseng Sling,25,Tonic,,,210,35
,Cloudy Greef,25,Tonic,,,210,35
,Flat Sour Mash,30,Alcohol,269,,,35
,Flat Spiced Mazte,30,Alcohol,269,,,35
,Murky Maormer Tea,30,Tea,,245,,35
,Murky Spiceberry Chai,30,Tea,,245,,35
,Murky Torval Mint Tea,30,Tea,,245,,35
,Cloudy Dancing Grandma,30,Tonic,,,245,35
,Cloudy Pirate's Jig Tonic,30,Tonic,,,245,35
,Flat Nereid Wine,35,Alcohol,308,,,35
,Flat Rye-In-Your-Eye,35,Alcohol,308,,,35
,"Flat Sorry, Honey Lager",35,Alcohol,308,,,35
,Murky Pink Profundity,35,Tea,,280,,35
,Murky Puckermint Tea,35,Tea,,280,,35
,Murky Winter Rose Tea,35,Tea,,280,,35
,Cloudy Crystal Clarity,35,Tonic,,,280,35
,Cloudy Rihad Qishr,35,Tonic,,,280,35
,Cloudy Seaberry Tonic,35,Tonic,,,280,35
,Flat Bloodforth,42,Alcohol,346,,,35
,Cloudy Ambrosia,42,Tea,,315,,35
