,Number of dwarven ingots needed for creating,
Armor Level,Dwarven Cuirass,Dwarven Sabatons,Dwarven Gauntlets,Dwarven Helm,Dwarven Greaves,Dwarven Pauldron,Dwarven Girdle,Total
36,10,8,8,8,9,8,8,59
38,11,9,9,9,10,9,9,66
40,12,10,10,10,11,10,10,73
42,13,11,11,11,12,11,11,80
44,14,12,12,12,13,12,12,87
""
Weapon Level,Dwarven Axe,Dwarven Hammer,Dwarven Sword,Dwarven Battle Axe,Dwarven Maul,Dwarven Greatsword,Dwarven Dagger,Total
36,6,6,6,8,8,8,5,N/A
38,7,7,7,9,9,9,6
40,8,8,8,10,10,10,7
42,9,9,9,11,11,11,8
44,10,10,10,12,12,12,9
