Source,Class,Type,Threshold,Effect
Assassin's Blade (Assassination),Nightblade,Active Skill,25%,Deals 300% more damage
Killer's Blade (Assassination),Nightblade,Active Skill (morph),50%,Deals up to 400% more damage
Impale (Assassination),Nightblade,Active Skill (morph),25%,Deals 330% more damage
Mages' Fury (Storm Calling),Sorcerer,Active Skill,20%,Adds additional Shock Damage
Mages' Wrath (Storm Calling),Sorcerer,Active Skill (morph),20%,Adds additional Shock Damage
Endless Fury (Storm Calling),Sorcerer,Active Skill (morph),20%,Adds additional Shock Damage
Radiant Destruction (Dawn's Wrath),Templar,Active Skill,50%,Deals up to 480% more damage
Radiant Glory (Dawn's Wrath),Templar,Active Skill (morph),50%,Deals up to 480% more damage
Radiant Oppresion (Dawn's Wrath),Templar,Active Skill (morph),50%,Deals up to 500% more damage
Feral Guardian (Animal Companions),Warden,Active Skill,25%,Deals 100% more damage
Eternal Guardian (Animal Companions),Warden,Active Skill (morph),25%,Deals 150% more damage
Wild Guardian (Animal Companions),Warden,Active Skill (morph),25%,Deals 100% more damage
Death Knell (Grave Lord),Necromancer,Passive Skill,25%,Increases Critical Strike Chance by 5%/10% per Grave Lord Ability slotted
Poisoned,Any,Status Effect,100%,Deals up to 100% more damage
Pounce-Carnage (Werewolf),Any,Active Skill,100%,Deals up to 450% more damage
Brutal Pounce-Brutal Carnage (Werewolf),Any,Active Skill (morph),100%,Deals up to 450% more damage
Feral Pounce-Feral Carnage (Werewolf),Any,Active Skill (morph),100%,Deals up to 450% more damage
Poison Injection (Bow),Any,Active Skill (morph),50%,Deals up to 120% more damage
Reverse Slash (Two Handed),Any,Active Skill,50%,Deals up to 300% more damage
Reverse Slice (Two Handed),Any,Active Skill (morph),50%,Deals up to 300% more damage
Executioner (Two Handed),Any,Active Skill (morph),50%,Deals up to 400% more damage
Slaughter (Dual Wield),Any,Passive Skill,25%,Deals 10%/20% more damage
Whiring Blades (Dual Wield),Any,Active Skill (morph),50%,Deals up to 100% more damage
Impulse (Destruction Staff),Any,Active Skill,50%,Deals up to 300% more damage with Inferno Staff equipped
Elemental Ring (Destruction Staff),Any,Active Skill,50%,Deals up to 300% more damage with Inferno Staff equipped
Pulsar (Destruction Staff),Any,Active Skill,50%,Deals up to 300% more damage with Inferno Staff equipped
Kvatch Gladiator (5 pieces),Any,Set,25%,128-1475 ESO Weapon Damage Link,|y and Spell Damage
Sheer Venom (5 pieces),Any,Set,100%,Adds Poison Damage when using any of the Execute skills.
Deadlands Assassin (5 pieces),Any,Set,50%,Adds additional Bleed Damage
Perfected / Executioner's Blade (2 pieces),Any,Set,100%,Deals up to 250% more damage with Hidden Blade
Pyrebrand (5 pieces),Dragonknight,Set,33%,Deals up to 200% more Flame Damage
