Activity,Description
Complete 5 Quests,Complete quests throughout Tamriel.
Complete 10 Quests
Complete 15 Quests
Claim 5 Rewards from the Daily Login Calendar,Claim Daily Login Calendar Rewards.
Claim 10 Rewards from the Daily Login Calendar
Earn 6 Whitestrake's Mayhem Boon Boxes,Earn Pelinal's Boon Boxes by participating in the Whitestrake's Mayhem event.
Earn 12 Whitestrake's Mayhem Boon Boxes
Use Ultimate Skills 20 Times,Unleash Ultimate Skills.
Visit 5 Player Homes,Visit player homes.
Place 5 Furnishings,Place furnishings from any category in a home you own.
Earn 10 Ranks in a Skill Line,Earn ranks in any skill line. See the Skills menu for how to earn skill line ranks.
Kill 200 Foes with Class Skills,Finish off foes with class skills.
Earn 10 Event Tickets,Earn tickets during the current event.
Complete 1 Group Dungeon,Complete Normal or Veteran Group Dungeons throughout Tamriel.
Complete 5 Group Dungeons
Complete 10 Group Dungeons
Complete 1 Trial,Gather your allies and complete Trials.
Loot 10 Treasure Chests,Loot treasure chests throughout Tamriel.
Complete 8 Incursions,Overcome Incursions and World Events throughout Tamriel.
Kill 5 World Bosses,Kill world bosses.
Defeat 500 Enemies,Defeat foes across Tamriel.
Craft 50 Items with any skill,Craft items using any skill. Crafting stations can be found in most major cities.
Improve 2 Item/Items,Improve Items.
Harvest 25 Resources from the World,"Harvest crafting resources from plants, ore veins, or any other natural deposit."
Harvest 50 Resources from the World
Scribe 1 Skill,"Skills can be Scribed at the Scribing Altar in the Scholarium beneath Eyevea. Complete the quest ""The Second Era of Scribing"" in order to gain access to the Scribing Altar."
Complete 1 Tribute Match,Face opponents in Tales of Tribute through the Activity Finder.
Improve Riding Skills 8 Times at a Stablemaster,"Improve Riding Carry Capacity, Speed, or Stamina by taking Riding Lessons from any Stablemaster."
Pick 15 Locks,Pick locked doors and chests.
Loot 10 Treasure Chests,Loot treasure chests throughout Tamriel.
Catch 30 Fish,Catch Fish.
Kill 10 Players in Cyrodiil,Kill enemy players in Cyrodiil.
Kill 50 Foes in Imperial City,Kill foes of any type in Imperial City.
Defeat 2 Patrolling Horrors in the Imperial City Districts,Defeat the colossal monsters that roam the Imperial City's districts.
Complete 10 Duels,Complete duels with other players (winning or losing). Forfeited duels do not count.
Complete 1 Battleground Match,Complete Battleground matches (win or lose).
"Deal 200000 Damage in Battlegrounds, Cyrodiil or Imperial City","Deal Damage in Battlegrounds, Cyrodiil or Imperial City."
