Zone,Settlement,Location
Cyrodiil,Empire Tower,On top of a crate in front of the tower
Cyrodiil,Gottlesfont Priory,In the wheelbarrow next to the farmhouse
Cyrodiil,"The Great Forest, Nightweaver's ritual circle",On the other side of the mountain southwest of Fort Ash Mine
Cyrodiil,Haynote Cave,Diabolist Volcatia's altar
Cyrodiil,Lipsand Tarn,In front of a bench in the hallway leading to Gaston Ashham's chamber
Cyrodiil,Nisin Cave,"At the end of the entrance tunnel, beside a crate"
Cyrodiil,Underpall Cave,Southwestern offshoot of the northeastern chamber
Cyrodiil,Underpall Cave,By the bridge in the central western room
Cyrodiil,Priory Milegate,In the back of a wagon south of the Priory Milegate
Cyrodiil,Sancre Tor,Beside an intact statue of a hooded warrior holding a sword
Cyrodiil,Sancre Tor,"On top of the center tower, across a broken gap"
Cyrodiil,Shadowed Path Tower,In the tower
Cyrodiil,Chorrol,Next to Senadon's campfire
Cyrodiil,Chorrol,Upstairs in the ruined house across the street from Castorius' House
Cyrodiil,Toadstool Hollow,In the eastern hallway leading down from the upper floor
Cyrodiil,Toadstool Hollow,In the small room north of the main chamber downstairs
Cyrodiil,Vlastarus Towers,South of the Vlastarus Towers
Cyrodiil,,
Cyrodiil,,
Cyrodiil,,
Cyrodiil,,
Cyrodiil,,
Cyrodiil,,
Cyrodiil,,
Cyrodiil,,
Cyrodiil,,
Cyrodiil,,
