Source,Class,Type,Affects,Effect
Battle Mastery (Champion Star),Any,Passive,-,Increases chance of applying Physical Status Effects by 30%/60%
Psychic Lesion (Herald of the Tome),Arcanist,Passive,-,Increases Status Effects damage by 7%/15% and Status Effects Chance by 27%/55%
Werewolf's Light/Partially Charged/Heavy attack,Werewolf,Core Combat,Varies,3%/5%/10% base chance
Ruinous Scythe (Bone Tyrant),Necromancer,Active Skill (morph),Area of Effect,Guaranteed apply on hit.
Wild Guardian (Animal Companions),Warden,Ultimate Skill,Varies,Quintuples the chance of applying Hemorrhaging.
Elemental Force (Destruction Staff),Any,Passive,-,Increases chance of applying Status Effects by 50%/100% for all your attacks when you have a Destruction Staff equipped.
Rending Slashes (Dual Wield),Any,Active Skill (morph),Single Target,Guaranteed apply for the initial two hits.
Lacerate (Dual Wield),Any,Ultimate Skill,Area of Effect,Guaranteed apply every second for 8 seconds.
Rend (Dual Wield),Any,Ultimate Skill,Area of Effect,Guaranteed apply every second for 16 seconds.
Thrive in Chaos (Dual Wield),Any,Ultimate Skill,Area of Effect,Guaranteed apply every second for 8 seconds.
Trample with Assassin's Misery script,Any,Active Skill,Area of Effect,"Afflicts enemies with the Concussion, Sundered, and Hemorrhaging status effects."
Traveling Knife with Assassin's Misery script,Any,Active Skill,Area of Effect,Increases the chance to apply status effects on enemies by 100% for 10 seconds.
Glacial Guardian (5 pieces),Any,Set,Area of Effect,Enemies touching the tether have +200% Status Effect chance
Serpent's Disdain (5 pieces),Any,Set,-,Increase Status Effects duration by 16 seconds
Spattering Disjunction (5 pieces),Arcanist,Set,Single Target,"Dealing damage with an Arcanist ability applies 2 random Status Effects, up to every 7 seconds"
Symmetry of the Weald (5 pieces),Any,Set,-,+200% Status Effects chance if you are over 50% Health
Threads of War (5 pieces),Any,Set,Varies,Your Light and Heavy attacks gain 100% Status Effect chance
Unleashed Terror (5 pieces),Any,Set,Varies,Guaranteed apply every hit over 10 seconds
