Skill,Affects,Cost,Notes
Deep Breath (Draconic Power),Enemies in Range,4320 Magicka,Stuns and sets Off Balance for 2 sec.
Focused Charge (Aedric Spear),Single Enemy,3510 Magicka,Stuns for 3 sec.
,Explosive Charge (morph),Enemies in Range
Toppling Charge (morph),Single Enemy,"Stuns even if not interrupting, sets Off Balance for 5 sec."
Hidden Blade (Dual Wield),Single Enemy,3780 Stamina,Stuns and sets Off Balance for 3 sec.
,Shrouded Daggers (morph),Up to 3 Enemies
Flying Blade (morph),Single Enemy
Power Bash (One Hand & Shield),Single Enemy,2700 Stamina,Includes all morphs
Venom Arrow (Bow),Single Enemy,2430 Stamina,Stuns and sets Off Balance for 3 sec.
Crushing Shock (Destruction Staff),Single Enemy,2700 Magicka,Stuns for 3 sec.
