Home Keep Bonus,Home Keep Bonus,"Increases experience, Alliance Points, and gold gained by 5%."
Bonus,Effect
Enemy Keep Bonus I,Enemy Keep Bonus I,"Increases experience, Alliance Points, and gold gained by 7%. Increase Weapon Critical and Spell Critical by 1%."
Enemy Keep Bonus II,Enemy Keep Bonus II,"Increases experience, Alliance Points, and gold gained by 8%. Increase Weapon Critical and Spell Critical by 2%."
Enemy Keep Bonus III,Enemy Keep Bonus III,"Increases experience, Alliance Points, and gold gained by 9%. Increase Weapon Critical and Spell Critical by 3%."
Enemy Keep Bonus IV,Enemy Keep Bonus IV,"Increases experience, Alliance Points, and gold gained by 10%. Increase Weapon Critical and Spell Critical by 4%."
Enemy Keep Bonus V,Enemy Keep Bonus V,"Increases experience, Alliance Points, and gold gained by 11%. Increase Weapon Critical and Spell Critical by 5%."
Enemy Keep Bonus VI,Enemy Keep Bonus VI,"Increases experience, Alliance Points, and gold gained by 12%. Increase Weapon Critical and Spell Critical by 6%."
Enemy Keep Bonus VII,Enemy Keep Bonus VII,"Increases experience, Alliance Points, and gold gained by 13%. Increase Weapon Critical and Spell Critical by 7%."
Enemy Keep Bonus VIII,Enemy Keep Bonus VIII,"Increases experience, Alliance Points, and gold gained by 14%. Increase Weapon Critical and Spell Critical by 8%."
Enemy Keep Bonus IX,Enemy Keep Bonus IX,"Increases experience, Alliance Points, and gold gained by 15%. Increase Weapon Critical and Spell Critical by 9%."
Edge Keep Bonus 1,Edge Keep Bonus 1,Increases Alliance Points gained by 8%.
Edge Keep Bonus 2,Edge Keep Bonus 2,Increases Alliance Points gained by 16%.
Edge Keep Bonus 3,Edge Keep Bonus 3,Increases Alliance Points gained by 24%.
