Experience to next rank,Total experience to reach rank,Experience to next rank,Total experience to reach rank,Experience to next rank,Total experience to reach rank
Skill Rank,,Class Skills,,Weapon Skills,,Armor Skills
1,7,0,2,0,7,0
2,50,7,50,2,50,7
3,135,57,407,52,135,57
4,240,192,719,459,240,192
5,459,432,1378,1178,459,432
6,742,891,2226,2556,1484,891
7,950,1633,2850,4782,1900,2375
8,1010,2583,3030,7632,2020,4275
9,1108,3593,3324,10662,2216,6295
10,1146,4701,3438,13986,3438,8511
11,3552,5847,3552,17424,3552,11949
12,4039,9399,4039,20976,4039,15501
13,4410,13438,4410,25015,4410,19540
14,4908,17848,4908,29425,4908,23950
15,5100,22756,5100,34333,5100,28858
16,5388,27856,5388,39433,7184,33958
17,6348,33244,6348,44821,8464,41142
18,6564,39592,6564,51169,10940,49606
19,6888,46156,6888,57733,11480,60546
20,7320,53044,7320,64621,12200,72026
21,7644,60364,7644,71941,12740,84226
22,8820,68008,8820,79585,14700,96966
23,9300,76828,9300,88405,15500,111666
24,9780,86128,9780,97705,16300,127166
25,10260,95908,10260,107485,17100,143466
26,21480,106168,25060,117745,17900,160566
27,24888,127648,29036,142805,20740,178466
28,25944,152536,30268,171841,21620,199206
29,27264,178480,31808,202109,22720,220826
30,28848,205744,33656,233917,24040,243546
31,30168,234592,35196,267573,25140,267586
32,31752,264760,37044,302769,26460,292726
33,33336,296512,38892,339813,27780,319186
34,35619,329848,41555,378705,29682,346966
35,37871,365467,44182,420260,31559,376648
36,50200,403338,46854,464442,33467,408207
37,53109,453538,49569,511296,35406,441674
38,56414,506647,52652,560865,37609,477080
39,59770,563061,55786,613517,39847,514689
40,63536,622831,59300,669303,42358,554536
41,67362,686367,62872,728603,44908,596894
42,71247,753729,66497,791475,47498,641802
43,75558,824976,100744,857972,50372,689300
44,80304,900534,107072,958716,53536,739672
45,85123,980838,113497,1065788,56748,793208
46,90014,1065961,120019,1179285,60010,849956
47,95358,1155975,127144,1299304,63572,909966
48,101164,1251333,134885,1426448,67442,973538
49,107441,1352497,143255,1561333,71628,1040980
50,-,1459938,-,1704588,-,1112608
