middle|32px|Points,Reduce,,middle|32px|Points,Reduce,,middle|32px|Points,Reduce,,middle|32px|Points,Reduce,,middle|32px|Points,Reduce
1,1.0,21,6.3,41,9.4,61,11.9,81,14.1
2,1.5,22,6.4,42,9.5,62,12.0,82,14.2
3,1.9,23,6.6,43,9.6,63,12.1,83,14.3
4,2.3,24,6.8,44,9.8,64,12.2,84,14.4
5,2.6,25,6.9,45,9.9,65,12.3,85,14.5
6,2.9,26,7.1,46,10.0,66,12.5,86,14.6
7,3.2,27,7.3,47,10.2,67,12.6,87,14.7
8,3.5,28,7.4,48,10.3,68,12.7,88,14.8
9,3.8,29,7.6,49,10.4,69,12.8,89,14.9
10,4.0,30,7.8,50,10.5,70,12.9,90,15.0
11,4.2,31,7.9,51,10.7,71,13.0,91,15.1
12,4.5,32,8.1,52,10.8,72,13.1,92,15.2
13,4.7,33,8.2,53,10.9,73,13.2,93,15.3
14,4.9,34,8.4,54,11.0,74,13.3,94,15.4
15,5.1,35,8.5,55,11.2,75,13.5,95,15.5
16,5.3,36,8.7,56,11.3,76,13.6,96,15.6
17,5.5,37,8.8,57,11.4,77,13.7,97,15.7
18,5.7,38,8.9,58,11.5,78,13.8,98,15.8
19,5.9,39,9.1,59,11.6,79,13.9,99,15.9
20,6.1,40,9.2,60,11.8,80,14.0,100,16.0
