Source,Class,Type,Affects,Effect
Flawless Ritual (Champion Star),Any,Passive,-,Increases chance of applying Magical Status Effects by 30%/60%
Psychic Lesion (Herald of the Tome),Arcanist,Passive,-,Increases Status Effects damage by 7%/15% and Status Effects Chance by 27%/55%
"Weapon with a Absorb Health Enchantment, Absorb Magicka Enchantment or Prismatic Onslaught Enchantment",Any,Core Combat,Single Target,20% base chance
Debilitate (Siphoning),Nightblade,Active Skill (morph),Single Target,Five times more likely to apply Overcharged
Elemental Force (Destruction Staff),Any,Passive,-,Increases chance of applying Status Effects by 50%/100% for all your attacks when you have a Destruction Staff equipped.
Traveling Knife with Assassin's Misery script,Any,Active Skill,Area,Increases the chance to apply status effects on enemies by 100% for 10 seconds.
Glacial Guardian (5 pieces),Any,Set,Area of Effect,Enemies touching the tether have +200% Status Effect chance
Serpent's Disdain (5 pieces),Any,Set,-,Increase Status Effects duration by 16 seconds
Spattering Disjunction (5 pieces),Arcanist,Set,Single Target,"Dealing damage with an Arcanist ability applies 2 random Status Effects, up to every 7 seconds"
Symmetry of the Weald (5 pieces),Any,Set,-,+200% Status Effects chance if you are over 50% Health
Threads of War (5 pieces),Any,Set,Varies,Your Light and Heavy attacks gain 100% Status Effect chance
