Beer,Spirits,Wine
Ingredient,Recipes
Recipe Improvement Rank: 1
,Add Brown Malt,Add Corn Mash,Add Wine Grapes
,Aged Meat,Dark Meat Beer,Rotmeth,Meat Muscat
,Dragon's-Tongue Sap,Dragon's-Tongue Ale,Slash of the Dragon,Dragon's-Tongue Shirza
,Dusk Beetle,Sun's Dusk Ale,Beetle Shots,Dusky Claret
,Iron Peat,Bog-Iron Ale,Truth-Glimpse,Ungorth
,Ripe Apple,Golden Apple Ale,Golden Liqueur,Apple Wine
,Shornhelm Grains,Shornhelm Ale,Aqua Vitae,Spiced Wine
,Snake Slime,Snake Sweat,Slither Liqueur,Snake Sherry
,Snake Venom,Saloop,Blinder,Numb-All-Over
,Tangerine,Citrus Malt,Tangerine Liqueur,Sunset Rose
,Wasp Squeezings,Bottled Buzz,Hive Mind,Wet Wasp White
,Wild Honey,Voljar's Honey Cider,Voljar's Liqueur,Voljar's Mead
,Wisp Floss,Sylph-Sandy,Sylphy Gin,Dream Madeira
Recipe Improvement Rank: 2
,Add Amber Malt,Add Wheat Mash,Add Grasa Grapes
,Comberry,Comberry Cider,Greef,Shein
,Dark Bile,Four-Eye Grog,Old Kindlepitch,Clamberskull
,Glitter Rock,Sweetmilk,White Eye,Gold Coast Muscat
,Orc Hops,Brew-Wife Ale,Hopscotch,Vintage Spew
,Pig's Milk,Jagga,Jagga Ouzo,Porky Port
,Sujamma Berries,Sujamma Stout,Sujamma,Sujamma Red
Recipe Improvement Rank: 3
,Add Caramalt,Add Oat Mash,Add Lado Grapes
,Ash Millet,Ash-Slake Ale,Gray Lightning,Ash Zinfandel
,Black Tea,Bitter Tea,Black Night Cordial,Black Wine
,Desert Heather,Heather Tea,Heather Bender,Heather Mead
,Molasses,Fermented Treacle Tea,Treacle Run,Cane Mead
,River Grapes,River's Ale,Night-Grog,River Madeira
,Spring Essence,Spring Infusion,Blessed Spring Water,Sparkling Spring
Recipe Improvement Rank: 4
,Add Wheat Malt,Add Barley Mash,Add Camaralet Grapes
,Crystal Berry,Crystal Beer,Crystal Clarity,Crystalline Wine
,Kaveh Beans,Kaveh Stout,Qhalua,Kaveh Red
Recipe Improvement Rank: 5
,Add White Malt,Add Rice Mash,Add Ribier Grapes
,Mountain Berries,Mountain Lager,Mountain Spirits,Comet Wine
Recipe Improvement Rank: 6
,Add Imperial Mash,Add Golden Malt,Add Emperor Grapes
,Bervez Fruit,Bervez Lager,Berveza Vitae,Bervez Wine
,Jazbay Grapes,Jazbay Brew,Eye-Opener,Jazbay Cabernet
