Legacy ingredient conversion table
,Old Base,New Ingredient
Aged Meat,Barleybarley
Ash Millet,Rye
Battaglir Weeds,Fish
Bear Haunch,White Meat
Beef,Poultry
Bervez Fruit,Wheat
Black Tea,Yeast
Capon Meat,Red Meat
Chaurus Meat,Game
Comberry,Rice
Combwort,Small Game
Crawdad,Apples
Crystal Berry,Surilie Grapes
Dark Bile,Jasmine
Desert Heather,Mint
Dragon's-Tongue Sap,Rose
Dusk Beetle,Lotus
Flank Steak,Bananas
Frog Legs,Jazbay Grapesjazbay
Glitter Rock,Bittergreen
Goat Bits,Melon
Goat Meat,Tomatotomato
Guar Eggs,Pumpkin
Honey Comb,Carrotscarrots
Horker Meat,Potatopotato
Iron Peat,Comberrycomberry
Jazbay Grapes,Acai Berry
Kaveh Beans,Ginkgo
Kwama Eggs,Greens
Liver,Radish
Molasses,Yerba Mate
Moon Sugar,Beets
Mountain Berries,Ginseng
Mudcrab Meat,Corn
Mutton Flank,(None)
Orc Hops,Coffee
Pig's Milk,Guarana
Plump Maggots,(None)
Plump Rodent Toes,(None)
Plump Worms,(None)
Pork,(None)
Ripe Apple,(None)
River Grapes,(None)
Saltrice,(None)
Scuttle Meat,(None)
Shank,(None)
Shornhelm Grains,(None)
Snake Slime,(None)
Snake Venom,(None)
Spring Essence,(None)
Sujamma Berries,(None)
Sweetmeats,(None)
Tangerine,(None)
Venison,(None)
Wasp Squeezings,(None)
Wild Honey,(None)
Wisp Floss,(None)
