Old Improvement,New Ingredient
Amber Malt,(None)
Baker's Flour,(None)
Barley Mash,(None)
Broth,(None)
Brown Malt,(None)
Cake Flour,(None)
Camaralet Grapes,(None)
Caramalt,(None)
Cooking Fat,(None)
Corn Mash,(None)
Drippings,(None)
Emperor Grapes,(None)
Fatback,(None)
Glace Viande,(None)
Golden Malt,(Old Imperial Mash)imperial
Grasa Grapes,(None)
Imperial Flour,(None)
Imperial Mash,(Old Golden Malt)golden
Imperial Stock,(None)
Jus,(None)
Lado Grapes,(None)
Lard,(None)
Meal,(None)
Milled Flour,(None)
Oat Mash,(None)
Pinguis,(None)
Ribier Grapes,(None)
Rice Mash,(None)
Sifted Flour,(None)
Stock,(None)
Suet,(None)
Thin Broth,(None)
Wheat Malt,(None)
Wheat Mash,(None)
White Malt,(None)
Wine Grapes,(None)
