,Name,RI,RQ,Drink,Recipe Drop,Ingredients,Effect
,Aqua Vitae,RI 1,RQ 1,Level 1 Drink,20px|Daggerfall Covenant Character,Shornhelm Grains and Corn Mash,Stamina Recovery +2
,Beetle Shots,RI 1,RQ 1,Level 5 Drink,20px|Aldmeri Dominion Character,Dusk Beetle and Corn Mash,Stamina Recovery +3
,Blinder,RI 1,RQ 1,Level 5 Drink,20px|Ebonheart Pact Character,Snake Venom and Corn Mash,Stamina Recovery +3
,Golden Liqueur,RI 1,RQ 1,Level 10 Drink,20px|Aldmeri Dominion Character,Ripe Apple and Corn Mash,Stamina Recovery +4
,Enriched Golden Liqueur,RI 1,RQ 2,Level 10 Drink,20px|Aldmeri Dominion Character,Ripe Apple and Corn Mash,Health and Stamina Recovery +3
,Hive Mind,RI 1,RQ 1,Level 15 Drink,20px|Daggerfall Covenant Character,Wasp Squeezings and Corn Mash,
,Enriched Hive Mind,RI 1,RQ 2,Level 15 Drink,20px|Daggerfall Covenant Character,Wasp Squeezings and Corn Mash,
,Rotmeth,RI 1,RQ 1,Level 1 Drink,20px|Aldmeri Dominion Character,Aged Meat and Corn Mash,Stamina Recovery +2
,Slash of the Dragon,RI 1,RQ 1,Level 15 Drink,20px|Ebonheart Pact Character,Dragon's-Tongue Sap and Corn Mash,
,Enriched Slash of the Dragon,RI 1,RQ 2,Level 15 Drink,20px|Ebonheart Pact Character,Dragon's-Tongue Sap and Corn Mash,
,Slither Liquor,RI 1,RQ 1,Level 1 Drink,20px|Ebonheart Pact Character,Snake Slime and Corn Mash,Stamina Recovery +2
,Sylph Gin,RI 1,RQ 1,Level 15 Drink,20px|Aldmeri Dominion Character,Wisp Floss and Corn Mash,Stamina Recovery +5
,Enriched Sylphy Gin,RI 1,RQ 2,Level 15 Drink,20px|Aldmeri Dominion Character,Wisp Floss and Corn Mash,
,Tangerine Liqueur,RI 1,RQ 1,Level 10 Drink,20px|Daggerfall Covenant Character,Tangerine and Corn Mash,Stamina Recovery +4
,Enriched Tangerine Liqueur,RI 1,RQ 2,Level 10 Drink,20px|Daggerfall Covenant Character,Tangerine and Corn Mash,
,Truth-Glimpse,RI 1,RQ 1,Level 5 Drink,20px|Daggerfall Covenant Character,Iron Peat and Corn Mash,Stamina Recovery +3
,Voljar's Liqueur,RI 1,RQ 1,Level 10 Drink,20px|Ebonheart Pact Character,Wild Honey and Corn Mash,
,Enriched Voljar's Liqueur,RI 1,RQ 2,Level 10 Drink,20px|Ebonheart Pact Character,Wild Honey and Corn Mash,
,Greef,RI 2,RQ 1,Level 25 Drink,20px|Ebonheart Pact Character,Comberry and Wheat Mash,
,Enriched Greef,RI 2,RQ 2,Level 25 Drink,20px|Ebonheart Pact Character,Comberry and Wheat Mash,
,Hopscotch,RI 2,RQ 1,Level 25 Drink,20px|Daggerfall Covenant Character,Orc Hops and Wheat Mash,Stamina Recovery +7
,Enriched Hopscotch,RI 2,RQ 2,Level 25 Drink,20px|Daggerfall Covenant Character,Orc Hops and Wheat Mash,
,Jagga Ouzo,RI 2,RQ 1,Level 20 Drink,20px|Aldmeri Dominion Character,Pig's Milk and Wheat Mash,Stamina Recovery +6
,Enriched Jagga Ouzo,RI 2,RQ 2,Level 20 Drink,20px|Aldmeri Dominion Character,Pig's Milk and Wheat Mash,
,Old Kindlepitch,RI 2,RQ 1,Level 20 Drink,20px|Daggerfall Covenant Character,Dark Bile and Wheat Mash,Stamina Recovery +6
,Enriched Old Kindlepitch,RI 2,RQ 2,Level 20 Drink,20px|Daggerfall Covenant Character,Dark Bile and Wheat Mash,
,Sujamma,RI 2,RQ 1,Level 20 Drink,20px|Ebonheart Pact Character,Sujamma Berries and Wheat Mash,Stamina Recovery +6
,Enriched Sujamma,RI 2,RQ 2,Level 20 Drink,20px|Ebonheart Pact Character,Sujamma Berries and Wheat Mash,
