Upgrade Level,Upgrade,Effect
Level 0,,,
Level 1,Regeneration,Enable Tower Regeneration,Tower walls will regenerate HP when not in combat (10 HP every 20 seconds)
Resistant Guards,More Resistant Guards,Your Keep guards are more resistant to magical damage and siege weapons
Tower,Tower HP Increased,"The Tower overwatching the Resource has more HP (Increased to 160,000)"
Level 2,Guard Abilities,Upgrade Guard Abilities,Melee guards will gain more powerful versions of some of their abilities
Heartier Guards,Heartier Guards,Guards have more HP
Level 3,Mage Abilities,Upgrade Mage Abilities,Keep mages will gain more powerful versions of some of their abilities
Tower,Tower HP Increased,"The Tower overwatching the Resource has more HP (Increased to 185,000)"
Level 4,Mender Abilities,Upgrade Mender Abilities,Keep menders will gain more powerful versions of some of their abilities
Regeneration,Increased Wall Regeneration,Walls will regenerate 50% more HP (15 HP every 20 seconds)
Level 5,Honor Guard Abilities,Upgrade Honor Guard Abilities,Keep honor guards will gain more powerful versions of some of their abilities
Tower,Tower HP Increased,"The Tower overwatching the Resource has more HP (Increased to 210,000)"
