Name and Location,Zone
Amenos Station,High Isle
Anchors Aweigh Inn,Summerset
Anchor's Point Inn,Bangkorai
Canton of St. Delyn the Wise,Vvardenfell
City Center,Deshaan
Cloudy Dregs Inn,Stormhaven
Coin Brothers' Cornerclub,Shadowfen
Davon's Watch Market District,Stonefalls
Dead Wolf Inn,Rivenspire
Elden Root,Grahtwood
Gonfalon Gaming Hall,High Isle
Mourner's Solace Inn,Telvanni Peninsula
Silver Moons Inn,Malabal Tor
Sisters of the Sands Inn,Alik'r Desert
Stonelore Grove,High Isle
The Fertile Respite,West Weald
The Foundation of Trust,Greenshade
The Jaded Ornaug Tavern,Galen
The Kaladas Inn,Blackwood
The Lonely Troll,Western Skyrim
The Rosy Lion,Glenumbra
The Sleepy Eaglet,Auridon
The Sleepy Sloth Inn and Pub,Solstice
The Sober Nord Tavern,Eastmarch
The Sugar Bowl,Northern Elsweyr
The Waxing Crescent,Reaper's March
The Withered Tree,The Rift
