Location,Name,Race,Gender,Health
Abyssal Geysers,Desiccated Sea Mage,Altmer,Varies,ba
Moonlit Cove,Ruddy Fang Windjammer,Dagi,Varies,ba
Black Kiergo Arena,Jiren-dar,Dagi,Male,63735
South Guard Ruins,Black Gull Mariner,"Dagi, Dunmer",Varies,ba
Halls of the Highmane,Dro-m'Athra Conduit,"Khajiit, Dro-m'Athra",Varies,ba
New Moon Fortress,New Moon Conduit,Khajiit,Varies,ba
Nchuthnkarst,Pirate Wavecaster,Dunmer,Varies,ba
Red Eagle Tower,Cuandala,Reachman,Female,127470
Labyrinthian,Tulnir,Draugr,Male,511478
Labyrinthian,Spectral Draugr Conduit,Draugr,Varies,ba
North of Gideon,Vasha the Wicked,Maormer,Female,267687
