Quest,Sharp's Commentary
Keeper of the Fate,"""Shame to get that curate dragged into all this. He seems young and in over his head."""
Fate's Lost Dream,"""Scruut seems all right. Certainly more personable than some people I've worked with before."""
Spirit of Fate,"""You're really gonna have to carry around that soul gem with the-he can hear me, can't he? … Never mind."""
Fate's Proxy,"""I like the efficiency. I like getting paid. But as someone who should have asked more questions on the last job I did on my own-you trust Leramil, right? Just want to make sure."""
A Hidden Fate,"""All that stuff you hear about Apocrypha containing horrors beyond mortal comprehension …. Those horrors seemed pretty comprehensible to me."""
Conclave of Fate,"""If I wasn't with you, I would have thought that was the normal way for a meeting of Telvanni masters to go."""
A Calamity of Fate,-
An Unhealthy Fate,"""Nirn is lucky we have someone like you looking out for bad things happening in realms outside of this one. Can't say for sure if we deserve it, but we're lucky all the same."""
Chronicle of Fate,"""Forgotten Prince? Do you think Torvesard …. Nope. Never mind. I'm not curious. Curiosity just gets people killed."" (After speaking with Hermaeus Mora)"
"""I don't know how you go back to your everyday life after something like this. I'd say that I'm glad it's over, but I can't imagine these Daedric Princes are done with you yet."" (Completing Quest)"
