Location,Name,Race,Gender,Health
Deshaan,Maulborn Enforcer,Dunmer,Varies,34501
Crypt of the Exiles,Exiled Guardian,Mummified Redguard,Varies,34501
Del's Claim,Heritance Enforcer,Altmer,Varies,34501
The Veiled Keep,Ondicantar,Altmer,Male,66924
Darkshade Caverns I,Pit Rat Enforcer,Dunmer,Varies,150375
Varies,Skeletal Defender,Skeleton,Varies,34501
Fungal Grotto II,Spider Cult Sentinel,Nord,Varies,34501
Underground Sepulcher,Bulugbek,Orc,Male,247548
"Bal Foyen, Stonefalls",Covenant Guardian,Orc,Male,aa
Cyrodiil,Gray Viper Stalwart,Orc,Varies,46943
