Name,Gender,Race,Health,Location
Battlemage Papus,Male,Imperial,127470,Bangkorai Garrison
Dark Witness Witchmen,Varies,Reachmen,ba,Bangkorai
Disloyal Noble Wild Witch,Female,Breton,ba,Rubble Butte
Peers-Through-Glass,Female,Argonian,dbt,Shrine of the Black Maw
Skeletal Corruptors,Varies,Skeletons,,The Vile Manse
Wild Witch,Female,,ba,"Alik'r Desert, Bangkorai"
Xivkyn Soulbranders,Varies,Xivkyn,140824,"Dark Anchors, Imperial City"
Yamanu-ko,Female,Khajiit,687460,"Apex Tower Antechamber, Elinhir"
Anyaq,Female,Redguard,398814,Craglorn
Maulborn General Darvasen,Male,Dunmer,dbl,Shad Astula Underhalls
Xivkyn Soulbrander,Varies,Xivkyn,140824,"Imperial City: Memorial District, Arboretum District, Dark Anchors"
