Icon,Item,Found,Selling Value
|,Ash,"In burnt barrels, crates and urns",1-9
|,Brittle Molten Rock,Volcanic cache at the end of a Volcanic Vent,10-58
,Carapace,Most bug-like and chitinous creatures,1-9
,Charcoal,In burnt barrels and crates,1-9
,Clockwork Oscillator,"Factotums, Fabricants",1-9
,Daedra Husk,Lesser Daedra,1-9
,Dwarven Gear,Dwemer Constructs and containers in Dwemer ruins,1-9
,Ectoplasm,Ghostly undead,1-9
,Elemental Essence,"Atronachs, Golems",1-9
,Foul Hide,Beasts such as bears and wolves,1-9
,Gnawed Bone,"Carts, urns",1-9
,Membrane,"Netches, Voriplasm",1-9
,Ruined Chaurus Egg,"Chaurus Egg, also Solitude Mages Guild basement",1
,Spoiled Food (page),"In ruined abandoned camps, ancient ruins, decrepit buildings and dusty crypts throughout Tamriel",1-9
,Stony Sliver,Stone Husks,1-9
,Supple Root,"Wooden enemies such as Spriggans, Lurchers and Stranglers",1-9
,Used Bait,Looted by using a bait of a given type in a fishing hole of different type,1
,Vampire Dust,"Bloodknights, Vampires",1-9
,Vampire Fang,"Bloodknights, Vampires",1-9
,Void Essence,"Creatures tainted by the Void such as Shades, Shade Colossi, Void Rots and Voidmothers",1-9
