Lead,Antiquity,Zone
Aurmine Ancestral Signet,Ring of the Pale Order (view item),Bangkorai
Ashen Infernace Gate,Ashen Infernace Gate (view furnishing),Stonefalls
Ayleid Lightwell,Ayleid Lightwell (view furnishing),Betnikh
Crimson Diamond,Belharza's Band (view item),Falkreath Hold (dig in the Deadlands)
Daedric Pillar of Torment,Daedric Pillar of Torment (view furnishing),Coldharbour
"Dutiful Guar, TheThe Dutiful Guar","Dutiful Guar, TheThe Dutiful Guar (view furnishing)",Bal Foyen
Dwarven Puzzle Box,Dwarven Puzzle Box (view furnishing),Stros M'Kai
Dwemer Star Chart,Dwemer Star Chart (view furnishing),Stros M'Kai
Ebony Fox Totem,Ebony Fox Totem (view furnishing),The Rift
Etched Silver Horns,Belharza's Band (view item),Gold Coast
Echoes of Aldmeris,Echoes of Aldmeris (view furnishing),Auridon
Eight-Star Chandelier,Eight-Star Chandelier (view furnishing),Grahtwood
Greensong Gathering Circle,Greensong Gathering Circle (view furnishing),Greenshade
"Heartland, TheThe Heartland","Heartland, TheThe Heartland (view furnishing)",Cyrodiil (dig in Alik'r Desert)
Hollowbone Wind Chimes,Hollowbone Wind Chimes (view furnishing),Malabal Tor
Jeweled Skull of Ayleid Kings,Jeweled Skull of Ayleid Kings (view furnishing),Cyrodiil (dig in Glenumbra)
Kingmaker's Trove,Kingmaker's Trove (view furnishing),Glenumbra
Maormeri Serpent Shrine,Maormeri Serpent Shrine (view furnishing),Auridon
Morpholith Shank,Markyn Ring of Majesty (view item),Coldharbour (dig in the Deadlands)
Moth Priest's Cleansing Bowl,Moth Priest's Cleansing Bowl (view furnishing),Imperial City (dig in Northern Elsweyr)
Nisswo's Soul Tender,Nisswo's Soul Tender (view furnishing),Murkmire
Noble Knight's Rest,Noble Knight's Rest (view furnishing),Stormhaven
Red Eagle Cave Painting,Red Eagle Cave Painting (view furnishing),The Reach
Riven King's Throne,Riven King's Throne (view furnishing),Rivenspire
Ruby Dragon Skull,Ruby Dragon Skull (view furnishing),Bleakrock Isle
Sacred Chalice of Ysgramor,Sacred Chalice of Ysgramor (view furnishing),Eastmarch
Seat of the Snow Prince,Seat of the Snow Prince (view furnishing),Western Skyrim
Sixth House Ritual Table,Sixth House Ritual Table (view furnishing),Vvardenfell
Spellscar Shard,Spellscar Shard (view furnishing),Craglorn
Sweet Khenarthi's Song,Sweet Khenarthi's Song (view furnishing),Khenarthi's Roost
Tall Papa's Lamp,Tall Papa's Lamp (view furnishing),Bangkorai
Tri-Angled Truth Altar,Tri-Angled Truth Altar (view furnishing),Bal Foyen
Yokudan Skystone Scabbard,Yokudan Skystone Scabbard (view furnishing),Hew's Bane
Z'en Idol,Z'en Idol (view furnishing),Blackwood
