Rivenspire
Place,Boss/Quest,Set,Item Name,Description
Aesar's Web,Aesar the Hatespinner,Darkstride,Darkstride Hatespinner Amulet,"A neck item awarded for defeating the giant spider, Aesar the Hatespinner."
The Spider's Cocoon,Necropotence,Garth's Gages,Gloves given for saving Garth from the spider cave.
Breagha-Fin,The Emerald Chalice,Necropotence,Stibbons's Fancy Epaulettes of Necropotence,Shoulder protection awarded for helping Lady Laurent and Stibbons recover the Emerald Chalice at Breagha-Fin.
Camp Tamrith,In the Doghouse,Necropotence,|Ignobert's Sash,A belt given for locating the missing Ignobert for his worried wife.
The Blood-Splattered Shield,Darkstride,Reezal-Jul's Dagger,"For slaying Reezal-Jul, Countess Tamrith presented the necromancer's dagger."
Cave of Sorrows,The Price of Longevity,Darkstride,Eternal Tree Spliter,Merethrin's spirit bestowed this weapon for freeing him from the eternal tree.
Crestshade,The Blood-Cursed Town,Necropotence,Reezal-Jul's Necrotic Robes of Necropotence,"For granting the spirits of Crestshade peace, the Mayor presented Reezal-Jul's discarded robes."
Crestshade Mine,Grimtooth,Darkstride,Darkstride Grimtooth's Annihilation Axe,"A weapon awarded for defeating the troll leader, Grimtooth, in Crestshade Mine."
Friend of Trolls,Necropotence,Troll Friend,"Grulaz's troll-taming staff, awarded for returning her journal to Gothurg in Shornhelm."
Crypt of Hearts I,Lover's Torment,Ebon Armory,Heartbreaker's Ebon Greaves,A present from Alanwe for saving her shattered soul in the Crypt of Hearts.
Crypt of Hearts II,Edge of Darkness,Shroud of the Lich,Necromancer's Lich-Heart,This amulet is cold to the touch.
The Doomcrag,The Lightless Remnant,Vampire Cloak,Ravenwatch Staff of the Vampire's Cloak,Gwendis wanted you to have Verandis' staff for standing with him at the Doomcrag.
East-Rock Landing,Stroda gra-Drom,Necropotence,Stroda's Orcish Coif of Necropotence,"Head gear awarded for defeating the Orc battlemage, Stroda gra-Drom."
Edrald Estate,A Change of Heart,Necropotence,Edrald's Wedding Veil of Necropotence,Arlie Edrald bestowed this elegant head piece for saving her and her family.
Erokii Ruins,Miruin Woodwalker,Vampire Cloak,Miruin's Devastation of the Vampire's Cloak,"A weapon awarded for defeating the Montclair officer, Miruin Woodwalker, in the Erokii Ruins."
Ancient Power,Necropotence,Magister's Staff,"For the Tear of Anurraame to the Mages Guild in Shornhelm, the magister awarded this staff."
Fell's Run,Fell's Justice,Vampire Cloak,Fell's Run Hero Necklace of the Vampire's Cloak,A pendant bestowed by Constable for aiding the people of Fell's Run.
Flyleaf Catacombs,Miremonwe Spellslinger,Necropotence,Miremonwe's Magicka Pendant of Necropotence,"A necklace awarded for defeating the Bitterhand Bandit leader, Miremonwe Spellslinger, in Flyleaf Catacombs."
Hildune's Secret Refuge,Leidmir Corpse-Caller,Necropotence,Corpse-Caller's Fury of Necropotence,"A weapon awarded for defeating the Montclair officer, Leidmir Corpse-Caller, in Hildune's Secret Refuge."
Hinault Farm,Dearly Departed,Vampire Cloak,Gennove's Blade,"For aiding the Hinault family, Jowan awarded his father's sword."
Under Siege,Necropotence,Heloise's Staff of Necropotence,"Healer Heloise's staff, awarded for aiding the soldiers at Hinault Farm."
Hoarfrost Downs,The Wayward Son,Vampire Cloak,Shornhelm Guard Armet,A helm given for recruiting soldiers at Hoarfrost Downs.
The Bandit,Vampire Cloak,Shornhelm Guard Baldric,A belt given for recruiting soldiers at Hoarfrost Downs.
The Lover,Vampire Cloak,Shornhelm Guard Sollerets of the Vampire's Cloak,Boots given for recruiting soldiers at Hoarfrost Downs.
Lorkrata Hills,The Concealing Veil,Darkstride,Darkstride Ravenwatch Boots,"For tearing Lleraya's veil in the Lorkrata Ruins, Verandis awarded this House Ravenwatch footwear."
Magdelena's Haunt,Magdelena,Vampire Cloak,Magdelena's Ancient Ring of the Vampire's Cloak,"A ring awarded for defeating the elder hag, Magdelena."
Moira's Hope,Hope Lost,Darkstride,Darkstride Ravenwatch Girdle,Adusa-daro awarded this House Ravenwatch adornment for aid provided at Moira's Hope.
Northpoint,Northpoint in Peril,Vampire Cloak,House Dorell Greaves,"Awarded for service to Northpoint above and beyond the call of duty, these leggings bear the crest of House Dorell."
The Liberation of Northpoint,Vampire Cloak,House Dorell Cuirass of the Vampire's Cloak,"Awarded for service to Northpoint above and beyond the call of duty, this armor bears the crest of House Dorell."
Northsalt Village,A Lucky Break,Necropotence,Nedras' Leather Pants,Leggings presented for bringing news of Nedras' fate to his sister Gendinora.
Old Kalgon's Keep,Louna Darkblood,Vampire Cloak,Darkblood Staff of the Vampire's Cloak,"A staff awarded for defeating the necromancer, Louna Darkblood."
Archaic Relics,Vampire Cloak,Arkay's Vambraces,Alvaren awarded these Knight of Arkay gloves for recovering holy relics from across Rivenspire.
Orc's Finger Ruins,Fingaenion Forestsmasher,Vampire Cloak,Fingaenion's Toe Gloves of the Vampire's Cloak,"Wood Elf footwear awarded for defeating the Bitterhand Bandit leader, Forestsmasher, in Orc's Finger Ruins."
The Lady's Keepsake,Vampire Cloak,Lothson's Smasher,Lothson bestowed this weapon for locating Marien's stolen necklace from Orc's Finger ruins.
Ravenwatch Castle,Dream-Walk Into Darkness,Darkstride,Darkstride Ravenwatch Cuirass,Verandis awarded this House Ravenwatch armor for unraveling the mysteries of his memories in Ravenwatch Castle.
A Dagger to the Heart,Darkstride,Adusa's Hunting Bow,Adusa-daro awarded her personal hunting bow for helping her bring down Rohlbert Montclair.
Assassin Hunter,Darkstride,Ravenwatch Gloves,Adusa-daro awarded these House Ravenwatch hand coverings for dispatching Arcorion Two-Blades.
The Assassin's List,Darkstride,Ravenwatch Rerebraces,Adusa-daro awarded these House Ravenwatch shoulder pads for obtaining the assassin's list of targets.
Threat of Death,Darkstride,Ravenwatch Tassets,Adusa-daro awarded these House Ravenwatch leggings for helping her stop the assassins at Ravenwatch Castle.
Sanguine Barrows,Crimes of the Past,Necropotence,Barrow Hammer of Necropotence,Weapon received after dealing with the war criminal Althen at Sanguine Barrows.
Shrouded Pass,Puzzle of the Pass,Darkstride,Ayleid Greatsword,"For solving the puzzle of the Shrouded Pass, Verandis awarded this Ayleid blade."
Silverhoof Vale,Rusty Daggers,Darkstride,Darkstride Silverhoof Loop,A ring received for saving the villagers of Silverhoof Vale.
Siren's Cove,Desuuga the Siren,Necropotence,Siren's Call of Necropotence,"A bow awarded for defeating the nereid, Desuuga the Siren."
Shornhelm,Shornhelm Divided,Darkstride,Darkstride High King's Shield,High King Emeric bestowed this shield for defeating Montclair's forces in Shornhelm.
The Crown of Shornhelm,Vampire Cloak,High King's Signet,"For saving Rivenspire and helping choose a ruler, High King Emeric awarded this signet ring."
Last Words,Vampire Cloak,Klaandor's Pauldrons,Shoulder protection awarded for bringing news of Klaandor's fate to his true love.
A Spy in Shornhelm,Darkstride,Ravenwatch Mask,Adusa-daro awarded this House Ravenwatch head covering for exposing the spy in Shornhelm.
Traitor's Tor,A Traitor's Tale,Vampire Cloak,Dathieu's Traitorous Axe of the Vampire's Cloak,"For listening to his tale and ending Ranser's curse, General Dathieu awarded the axe that killed the mad king."
Tribulation Crypt,Alameric Daillon,Darkstride,Darkstride Alameric's Staff of Storms,"A weapon awarded for defeating the undead wizard, Alameric Daillon, in Tribulation Crypt."
Valeguard Tower,Menhir Stoneskin,Darkstride,Darkstride Stoneskin Shield,"A shield awarded for defeating the gargoyle champion, Menhir Stoneskin."
Westwind Lighthouse,The Barefoot Breton,Necropotence,Barefoot Breton's Shoes,Footwear received after helping Parquier find his missing items.
