Necrom
Place,Boss/Quest,Set,Item Name,Description
Ald Isra,Tracing Shadows,Vivec's Duality,Shadow's Hood,An assassin's cast-off head covering. Naryu prefers to work with her hair blowing free.
Anchre Egg Mine,Underwritten,Camonna Tong,Eggminer Galoshes,Resilient footwear favored by kwama handlers.
Apocrypha,Fate's Lost Dream,Camonna Tong,Decoction Mitts,Alchemists in the cults of Peryite and Vaermina prize work gloves that are both flexible and protective.
Apogee of the Tormenting Eye,Hungry for Knowledge,Vivec's Duality,Tormenting Robes,"A garment worn by the Remnants, a Dremora clan once sworn to defend Apocrypha."
Camonnaruhn,The Traitor's Trade,Adamant Lurker,Ashur's Spare Axe,"The blade and haft are worn but well maintained, in spite of years of service."
Cenotaph of the Remnants,Forgotten Glories,Camonna Tong,Cruxstone Bow,The Remnants of Apocrypha prize weapons made from a curious material found in the liminal space called the Crux.
Cipher's Midden,An Unhealthy Fate,Adamant Lurker,Venomdream Cuirass,The highest-ranking Hidden Kindred receive armor bearing the benedictions of Vaermina and Peryite.
"Numinous Grimoire, Volume 1",Camonna Tong,Scavenged Intruder's Belt,A well-made piece of equipment scavenged from the body of an extraplanar intruder.
"Numinous Grimoire, Volume 2",Camonna Tong,Scavenged Intruder's Gloves,A well-made piece of equipment scavenged from the body of an extraplanar intruder.
"Numinous Grimoire, Volume 3",Camonna Tong,Scavenged Intruder's Greaves,A well-made piece of equipment scavenged from the body of an extraplanar intruder.
Akacirn the Deathless,Camonna Tong,Scavenged Intruder's Severer,A well-made piece of equipment scavenged from the body of an extraplanar intruder.
The Disquiet Study,Piteous Envoys,Vivec's Duality,Gleaner's Solace,"The Gleaners of the Aurbis try to avoid getting hurt on the job, but it helps to know healing implements are available."
Fathoms Drift,Destiny's Tide,Vivec's Duality,Lookout's Breeches,"Warm, durable, and water-resistant, the clothes of Altmer sailors are prized the world over."
The Feral Gallery,Escape of the Sane,Adamant Lurker,Morian's Metal Circle,"A tarnished ring. Though severely scratched, the Zenas coat of arms can still be seen."
Kemel-Ze,A Memory of Mystery,Adamant Lurker,Hands of Creation,The discarded appendages of one of Lord Seht's many failed prototypes.
Necrom,Personal Effects,Vivec's Duality,Hlaalu Courier's Staff,Couriers in the employ of House Hlaalu rarely go about their duties unarmed.
Necrom Bindery,Fate's Proxy,Vivec's Duality,Band of the Wise,Winding across the surface of this ring is the name of an Altmer family forgotten to the ages.
Conclave of Fate,Camonna Tong,Necrom Envoy's Cops,"Necrom's clergy often serve as diplomats, contending with the machinations of House Telvanni."
Necrom Necropolis,Keeper of the Fate,Vivec's Duality,Mortal Chill,Ice staves are favored by the Keepers of the Dead when dealing with unruly ancestor spirits.
Quires Wind,Madness in the Wind,Adamant Lurker,Daleforge Pauldrons,"The Orc clan that forged this armor is long gone, but its sturdy workmanship survives."
The Ravening Morass,Piteous Envoys,Vivec's Duality,Sash of the Subservient,The filigree etched on the clasp of this sash depicts countless world-weary faces.
Rectory Corporea,Lost in Thought,Adamant Lurker,Huzmargo's Calibrator,Sometimes the delicate devices of Apocrypha benefit from a sound hit with a blunt instrument.
Sailenmora,A Thief to Catch a Thief,Camonna Tong,Armiger's Justice,A ceremonial sword worn by the Buoyant Armigers of Vivec.
The Sidereal Cloisters,Under Malign Stars,Camonna Tong,Meenai-Shai's Quill Sharpener,"A well-honed dagger, lovingly maintained. Blotches of ink line its edge."
Tel Dreloth,Lovesick,Adamant Lurker,Heartsbold,"Simple in design, this amulet exudes a comforting warmth when worn."
