Grahtwood
Place,Boss,Set,Item Name
Elden Hollow I,Akash gra-Mal,Undaunted Bastion,Akash's First Love
Ancient Spriggan,Light Speaker,Grandmother's Lace
Chokethorn,Light Speaker,Chokethorn's Healing Root
Nenesh gro-Mal,Barkskin,Tribal Hair-Knot
Leafseether,Light Speaker,Leafring
Undaunted Bastion,Pendant of Vines
Canonreeve Oraneth,Barkskin,Canonreeve's Scepter
Undaunted Bastion,The Thalmor Gavel
Place,Boss,Set,Item Name
Elden Hollow II,Dubroze the Infester,Undaunted Bastion,Daedroth Tooth Necklace
Dark Root,Light Speaker,Dark Root of Restoration
Azara the Frightener,Light Speaker,Jewel of Azara
Murklight,Barkskin,Murkhammer
The Shadow Guard,Undaunted Bastion,Oraneth's Lost Jewels
Light Speaker,Band of the Shadow Guard
Bogdan the Nightflame,Barkskin,Bogdan's Claw
Undaunted Bastion,Bogdan's Flame
