Place,Boss,Set,Item Name
Coldharbour
Vaults of Madness,The Cursed One,Rattlecage,Gem of Curses
Rattlecage,Forbidden Jewels
Ulguna Soul-Reaver,Rattlecage,Soul-Siphon
Worm's Raiment,Maleficence
Worm's Raiment,Soul-Reave
Death's Head,Rattlecage,Bonebound Ring
Oblivion's Edge,Death's Amulet
Grothdarr,Oblivion's Edge,Grothdarr's Fist
Oblivion's Edge,Fleshsear
Rattlecage,Despair
Achaeraizur,Rattlecage,Achaeraizur's Chain
Oblivion's Edge,Band of the Daedroth
The Ancient One,Worm's Raiment,Watcher's Eye
Worm's Raiment,Ring of the Ancient One
Iskra the Omen,Oblivion's Edge,Ill Omen
Rattlecage,Omen's Edge
Worm's Raiment,Ruin
Mad Architect,Oblivion's Edge,Architect's Shield
Worm's Raiment,The Mad Cleaver
Worm's Raiment,The Mad Maul
Rattlecage,Vengeance
