Icon,Name,Description
File:ON-icon-Vengeance-Blue Perk-Ceaseless Assault.png,Ceaseless Assault,"Increases Health, Magicka, and Stamina Recovery by 10% for 10 minutes after you capture a Lumber Mill, Farm, Mine, or Keep."
File:ON-icon-Vengeance-Blue Perk-Keep Guardian.png,Keep Guardian,"Increases Health, Magicka, and Stamina Recovery by 193 while near a keep."
File:ON-icon-Vengeance-Blue Perk-Hale Reserve.png,Hale Reserve,Gain 45 Health Recovery for every 10 Ultimate you have.
File:ON-icon-Vengeance-Blue Perk-Cognitive Reserve.png,Cognitive Reserve,Gain 10 Magicka Recovery for every 10 Ultimate you have.
File:ON-icon-Vengeance-Blue Perk-Athletic Reserve.png,Athletic Reserve,Gain 10 Stamina Recovery for every 10 Ultimate you have.
File:ON-icon-Vengeance-Blue Perk-Bolster Intellect.png,Bolster Intellect,Increases your Magicka Recovery by 258. Decreases your Stamina Recovery by 258.
File:ON-icon-Vengeance-Blue Perk-Bolster Endurance.png,Bolster Endurance,Increases your Stamina Recovery by 258. Decreases your Magicka Recovery by 258.
File:ON-icon-Vengeance-Blue Perk-Bolster Fortitude.png,Bolster Fortitude,Increases your Health Recovery by 774.
File:ON-icon-Vengeance-Blue Perk-Bolster Magicka.png,Bolster Magicka,Increases your Max Magicka by 2192. Reduce your Max Stamina by 2192.
File:ON-icon-Vengeance-Blue Perk-Bolster Stamina.png,Bolster Stamina,Increases your Max Stamina by 2192. Reduces your Max Magicka by 2192.
File:ON-icon-Vengeance-Blue Perk-Combat Adept.png,Combat Adept,Reduces all costs by 5%.
File:ON-icon-Vengeance-Blue Perk-Spell Adept.png,Spell Adept,Reduces Magicka cost of abilities by 10%. Increases Stamina cost of abilities by 10%.
File:ON-icon-Vengeance-Blue Perk-Feat Adept.png,Feat Adept,Reduces Stamina cost of abilities by 10%. Increases Magicka cost of abilities by 10%.
File:ON-icon-Vengeance-Blue Perk-Class Adept.png,Class Adept,Reduces the cost of your Class abilities by 10%. Increases the cost of your non-Class abilities by 10%.
File:ON-icon-Vengeance-Blue Perk-Weapon Adept.png,Weapon Adept,Reduces the cost of your weapon abilities by 10%. Increases the cost of your non-weapon abilities by 10%.
File:ON-icon-Vengeance-Blue Perk-Tireless Guardian.png,Tireless Guardian,You stand as firm against a combatant's attacks as a Dwarven construct. Reduces the cost of Block by 20%.
File:ON-icon-Vengeance-Blue Perk-Tumbling.png,Tumbling,"Thanks to your alliance drill sergeants, you learned how to fall early in your training. Reduces the cost of Roll Dodge by 20%."
File:ON-icon-Vengeance-Blue Perk-Hardened.png,Hardened,You remain as focused on your goal as an ancient Dragon. Increase the duration of Crowd Control Immunity by 3 seconds.
File:ON-icon-Vengeance-Blue Perk-Alchemical Acceleration.png,Alchemical Acceleration,"Due to steady potion use, your constitution allows you to imbibe alchemical concoctions safely at a greater frequency. Reduces your potion cooldown by 8 seconds."
File:ON-icon-Vengeance-Blue Perk-Freedom of Movement.png,Freedom of Movement,"When you gain Crowd Control Immunity, you are as hard to entrap as a Dagi avoiding the Hungry Cat's claws. You become immune to snares and immobilizations that can be cleansed for 7 seconds. This can occur once every 8 seconds."
File:ON-icon-Vengeance-Blue Perk-Refreshing Stride.png,Refreshing Stride,"Maneuvering quickly in and out of combat in Cyrodiil's killing fields recharges you. While Sprinting, you gain 387 Health and Magicka Recovery."
File:ON-icon-Vengeance-Blue Perk-Ultimate Adept.png,Ultimate Adept,The ease with which you perform your most challenging combat maneuver would make Pelinal smile. Reduces the cost of your Ultimate abilities by 20%.
