,Number of voidstone ingots needed for creating,
Armor Level,Voidsteel Cuirass,Voidsteel Sabatons,Voidsteel Gauntlets,Voidsteel Helm,Voidsteel Greaves,Voidsteel Pauldron,Voidsteel Girdle,Total
CP90,15,13,13,13,14,13,13,94
CP100,16,14,14,14,15,14,14,101
CP110,17,15,15,15,16,15,15,108
CP120,18,16,16,16,17,16,16,115
CP130,19,17,17,17,18,17,17,122
CP140,20,18,18,18,19,18,18,129
""
Weapon Level,Voidsteel Axe,Voidsteel Hammer,Voidsteel Sword,Voidsteel Battle Axe,Voidsteel Maul,Voidsteel Greatsword,Voidsteel Dagger,Total
CP90,11,11,11,13,13,13,10,N/A
CP100,12,12,12,14,14,14,11
CP110,13,13,13,15,15,15,12
CP120,14,14,14,16,16,16,13
CP130,15,15,15,17,17,17,14
CP140,16,16,16,18,18,18,15
