Sanded Wood,Craft Into
,Sanded Maple,"Maple Bows and Staves, and Maple Shields (Level 1-14)"
,Sanded Oak,"Oak Bows and Staves, and Oak Shields (Level 16-24)"
,Sanded Beech,"Beech Bows and Staves, and Beech Shields (Level 26-34)"
,Sanded Hickory,"Hickory Bows and Staves, and Hickory Shields (Level 36-44)"
,Sanded Yew,"Yew Bows and Staves, and Yew Shields (Level 46-50)"
,Sanded Birch,"Birch Bows and Staves, and Birch Shields (CP10-CP30)"
,Sanded Ash,"Ash Bows and Staves, and Ash Shields (CP40-CP60)"
,Sanded Mahogany,"Mahogany Bows and Staves, and Mahogany Shields (CP70-CP80)"
,Sanded Nightwood,"Nightwood Bows and Staves, and Nightwood Shields (CP90-CP140)"
,Sanded Ruby Ash,"Ruby Ash Bows and Staves, and Ruby Ash Shields (CP150-CP160)"
