Skill Name,ID,Mechanic,Class,Skill Line,Set Name,#,Description,Equations
"""Eyeballs""",84700,Werewolf,,,,3,Increase Magicka by <<1>> and Health Recovery by <<2>> for <<3>>.,<<1>> = 420 (Constant) <<2>> = 462 (Constant) <<3>> = 2 hours (Constant)
1.5s Timer,215662,Adrenaline,,,,4,"Create a cataclysmic storm at the target location that builds after 2 seconds then lays waste to all enemies in the area, dealing <<1>> every <<2>> for <<3>>.  Enemies hit are immobilized for <<4>>.","<<1>> = 0.0967373 MaxStat + 1.01725 MaxPower - 0.194354  (Ultimate, ratio = 10.52, Dmg, Frost, AOE, DOT, 1s tick, R2 = 1) <<2>> = 1 second (Constant) <<3>> = 7 seconds (Constant) <<4>> = 3 seconds (Constant)"
1.5s Timer,215663,Adrenaline,,,,4,"Create a cataclysmic storm at the target location that builds after 2 seconds then lays waste to all enemies in the area, dealing <<1>> every <<2>> for <<3>>.  Enemies hit are immobilized for <<4>>.","<<1>> = 0.0967373 MaxStat + 1.01725 MaxPower - 0.194354  (Ultimate, ratio = 10.52, Dmg, Frost, AOE, DOT, 1s tick, R2 = 1) <<2>> = 1 second (Constant) <<3>> = 7 seconds (Constant) <<4>> = 3 seconds (Constant)"
1.5s Timer,215664,Adrenaline,,,,4,"Create a cataclysmic storm at the target location that builds after 2 seconds then lays waste to all enemies in the area, dealing <<1>> every <<2>> for <<3>>.  Enemies hit are immobilized for <<4>>.","<<1>> = 0.0967373 MaxStat + 1.01725 MaxPower - 0.194354  (Ultimate, ratio = 10.52, Dmg, Frost, AOE, DOT, 1s tick, R2 = 1) <<2>> = 1 second (Constant) <<3>> = 7 seconds (Constant) <<4>> = 3 seconds (Constant)"
1.5s Timer,204942,Magicka,,,,4,"Create a cataclysmic storm at the target location that builds after 2 seconds then lays waste to all enemies in the area, dealing <<1>> every <<2>> for <<3>>.  Enemies hit are immobilized for <<4>>.","<<1>> = 0.0967373 MaxStat + 1.01725 MaxPower - 0.194354  (Ultimate, ratio = 10.52, Dmg, Frost, AOE, DOT, 1s tick, R2 = 1) <<2>> = 1 second (Constant) <<3>> = 7 seconds (Constant) <<4>> = 3 seconds (Constant)"
2s Timer,182401,Adrenaline,,,,4,"Create a cataclysmic storm at the target location that builds after 2 seconds then lays waste to all enemies in the area, dealing <<1>> every <<2>> for <<3>>.  Enemies hit are immobilized for <<4>>.","<<1>> = 0.0967373 MaxStat + 1.01725 MaxPower - 0.194354  (Ultimate, ratio = 10.52, Dmg, Frost, AOE, DOT, 1s tick, R2 = 1) <<2>> = 1 second (Constant) <<3>> = 7 seconds (Constant) <<4>> = 3 seconds (Constant)"
2s Timer,182338,Adrenaline,,,,4,"Create a cataclysmic storm at the target location that builds after 2 seconds then lays waste to all enemies in the area, dealing <<1>> every <<2>> for <<3>>.  Enemies hit are immobilized for <<4>>.","<<1>> = 0.0967373 MaxStat + 1.01725 MaxPower - 0.194354  (Ultimate, ratio = 10.52, Dmg, Frost, AOE, DOT, 1s tick, R2 = 1) <<2>> = 1 second (Constant) <<3>> = 7 seconds (Constant) <<4>> = 3 seconds (Constant)"
A Soul Ablaze 1,29451,Werewolf,Dragonknight,Ardent Flame,,1,The will to survive burns bright in your chest.  Increases your Healing Taken by <<1>>.,<<1>> = 4% (Constant)
A Soul Ablaze 2,45029,Werewolf,Dragonknight,Ardent Flame,,1,The will to survive burns bright in your chest.  Increases your Healing Taken by <<1>>.,<<1>> = 8% (Constant)
Abominable Bulwark,131506,Werewolf,,,,4,"Maximum Health increased by <<1>> and reduces your damage taken by <<2>>  As a Necromancer, Maximum Health increased by <<3>> and reduces your damage taken by <<4>>",<<1>> = 2500 (Constant) <<2>> = 3% (Constant) <<3>> = 3250 (Constant) <<4>> = 5% (Constant)
