Damage,Magicka,Damage,Magicka,Damage,Magicka,Damage,Magicka,Damage,Magicka
Glyph,Potency Rune,Potency Skill,Glyph Level,Aspect Rune
Ta,Jejota,Denata,Rekuta,Kuta
Trifling Glyph of Absorb Magicka,Jode,1,1,80,14,86,16,91,17,96,17,105,19
Inferior Glyph of Absorb Magicka,Notade,1,5,99,18,104,19,113,21,119,22,130,24
Petty Glyph of Absorb Magicka,Ode,2,10,122,22,129,24,140,26,146,27,159,29
Slight Glyph of Absorb Magicka,Tade,2,15,150,28,156,29,170,31,180,33,195,36
Minor Glyph of Absorb Magicka,Jayde,3,20,181,33,192,35,207,38,218,40,235,43
Lesser Glyph of Absorb Magicka,Edode,3,25,220,41,231,43,249,46,264,49,286,53
Moderate Glyph of Absorb Magicka,Pojode,4,30,263,49,279,52,301,56,317,59,342,63
Average Glyph of Absorb Magicka,Rekude,4,35,318,59,333,62,359,67,381,71,413,77
Strong Glyph of Absorb Magicka,Hade,5,40,377,70,399,74,432,80,453,84,490,91
Major Glyph of Absorb Magicka,Idode,5,CP10,453,84,474,88,513,95,542,101,589,110
Greater Glyph of Absorb Magicka,Pode,6,CP30,534,99,566,105,615,114,641,119,696,130
Grand Glyph of Absorb Magicka,Kedeko,7,CP50,639,119,667,124,724,135,768,143,832,155
Splendid Glyph of Absorb Magicka,Rede,8,CP70,753,140,798,148,864,161,904,168,980,182
Monumental Glyph of Absorb Magicka,Kude,9,CP100,897,167,938,175,1016,189,1077,201,1164,217
Superb Glyph of Absorb Magicka,Jehade,10,CP150,1246,232,1306,243,1415,264,1495,279,1622,302
Truly Superb Glyph of Absorb Magicka,Itade,10,CP160,1461,272,1544,288,1674,312,1754,327,1900,354
