Glyph,Potency Rune,Potency Skill,Glyph Level,Aspect Rune
Ta,Jejota,Denata,Rekuta,Kuta
Trifling Glyph of Bracing,Jode,1,1,17,18,19,21,22
Inferior Glyph of Bracing,Notade,1,5,29,31,33,36,38
Petty Glyph of Bracing,Ode,2,10,41,44,47,50,|54
Slight Glyph of Bracing,Tade,2,15,53,57,61,65,69
Minor Glyph of Bracing,Jayde,3,20,65,70,75,80,85
Lesser Glyph of Bracing,Edode,3,25,77,83,89,95,101
Moderate Glyph of Bracing,Pojode,4,30,89,96,103,110,117
Average Glyph of Bracing,Rekude,4,35,101,109,117,124,132
Strong Glyph of Bracing,Hade,5,40,113,122,130,139,148
Major Glyph of Bracing,Idode,5,CP10,125,135,144,154,164
Greater Glyph of Bracing,Pode,6,CP30,136,147,157,168,179
Grand Glyph of Bracing,Kedeko,7,CP50,140,151,162,173,184
Splendid Glyph of Bracing,Rede,8,CP70,143,154,165,176,187
Monumental Glyph of Bracing,Kude,9,CP100,147,158,169,181,192
Superb Glyph of Bracing,Jehade,10,CP150,153,165,177,189,201
Truly Superb Glyph of Bracing,Itade,10,CP160,154,167,179,191,203
