Glyph,Potency Rune,Potency Skill,Glyph Level,Aspect Rune
Ta,Jejota,Denata,Rekuta,Kuta
Trifling Glyph of Foulness,Jora,1,1,107,115,122,128,140
Inferior Glyph of Foulness,Porade,1,5,133,139,151,159,174
Petty Glyph of Foulness,Jera,2,10,163,172,187,195,212
Slight Glyph of Foulness,Jejora,2,15,200,209,227,240,261
Minor Glyph of Foulness,Odra,3,20,242,256,277,291,314
Lesser Glyph of Foulness,Pojora,3,25,294,308,333,352,382
Moderate Glyph of Foulness,Edora,4,30,351,372,402,423,456
Average Glyph of Foulness,Jaera,4,35,424,445,479,508,551
Strong Glyph of Foulness,Pora,5,40,503,533,577,605,654
Major Glyph of Foulness,Denara,5,CP10,604,632,684,723,786
Greater Glyph of Foulness,Rera,6,CP30,713,755,820,855,929
Grand Glyph of Foulness,Derado,7,CP50,853,890,966,1024,1110
Splendid Glyph of Foulness,Rekura,8,CP70,1004,1064,1152,1206,1307
Monumental Glyph of Foulness,Kura,9,CP100,1196,1251,1355,1436,1553
Superb Glyph of Foulness,Rejera,10,CP150,1662,1742,1887,1994,2163
Truly Superb Glyph of Foulness,Repora,10,CP160,1948,2059,2232,2339,2534
