Glyph,Potency Rune,Potency Skill,Glyph Level,Aspect Rune
Ta,Jejota,Denata,Rekuta,Kuta
Trifling Glyph of Health,Jora,1,1,77,82,88,92,100
Inferior Glyph of Health,Porade,1,5,90,94,102,107,117
Petty Glyph of Health,Jera,2,10,104,110,119,125,136
Slight Glyph of Health,Jejora,2,15,122,127,138,146,158
Minor Glyph of Health,Odra,3,20,140,148,160,160,182
Lesser Glyph of Health,Pojora,3,25,162,171,184,195,211
Moderate Glyph of Health,Edora,4,30,187,198,213,224,243
Average Glyph of Health,Jaera,4,35,215,226,245,258,280
Strong Glyph of Health,Pora,5,40,247,260,282,297,322
Major Glyph of Health,Denara,5,CP10,284,299,324,342,370
Greater Glyph of Health,Rera,6,CP30,326,344,372,391,424
Grand Glyph of Health,Derado,7,CP50,375,393,426,449,487
Splendid Glyph of Health,Rekura,8,CP70,429,452,489,514,557
Monumental Glyph of Health,Kura,9,CP100,491,517,559,589,639
Superb Glyph of Health,Rejera,10,CP150,643,676,732,772,837
Truly Superb Glyph of Health,Repora,10,CP160,734,774,839,882,954
