Glyph,Potency Rune,Potency Skill,Glyph Level,Aspect Rune
Ta,Jejota,Denata,Rekuta,Kuta
Trifling Glyph of Increase Magical Harm,Jora,1,1,14,15,16,17,18
Inferior Glyph of Increase Magical Harm,Porade,1,5,16,17,19,20,21
Petty Glyph of Increase Magical Harm,Jera,2,10,19,20,22,23,25
Slight Glyph of Increase Magical Harm,Jejora,2,15,22,23,25,27,29
Minor Glyph of Increase Magical Harm,Odra,3,20,26,27,29,31,33
Lesser Glyph of Increase Magical Harm,Pojora,3,25,30,31,34,36,38
Moderate Glyph of Increase Magical Harm,Edora,4,30,34,36,39,41,44
Average Glyph of Increase Magical Harm,Jaera,4,35,39,41,45,47,51
Strong Glyph of Increase Magical Harm,Pora,5,40,45,47,51,54,59
Major Glyph of Increase Magical Harm,Denara,5,CP10,52,54,59,62,67
Greater Glyph of Increase Magical Harm,Rera,6,CP30,59,63,68,71,77
Grand Glyph of Increase Magical Harm,Derado,7,CP50,68,72,78,82,89
Splendid Glyph of Increase Magical Harm,Rekura,8,CP70,78,82,89,94,101
Monumental Glyph of Increase Magical Harm,Kura,9,CP100,89,94,102,107,116
Superb Glyph of Increase Magical Harm,Rejera,10,CP150,117,123,133,140,152
Truly Superb Glyph of Increase Magical Harm,Repora,10,CP160,134,141,153,160,174
